city,country,country_code,latitude,longitude,population,medical_services_score
Cairo,Egypt,EG,30.0519,31.248,11893000,55
Lagos,Nigeria,NG,6.4452,3.3896,9466000,37
Kinshasa,Congo (Kinshasa),CD,-4.3278,15.313,7843000,28
Luanda,Angola,AO,-8.8363,13.2325,5172900,32
Khartoum,Sudan,SD,15.59,32.5322,4754000,35
Alexandria,Egypt,EG,31.202,29.948,4165000,55
Abidjan,Ivory Coast,CI,5.3219,-4.042,3802000,36
Johannesburg,South Africa,ZA,-26.1681,28.0281,3435000,52
Algiers,Algeria,DZ,36.765,3.0486,3354000,62
Cape Town,South Africa,ZA,-33.9181,18.433,3215000,52
Casablanca,Morocco,MA,33.6019,-7.6183,3181000,53
Kano,Nigeria,NG,12.0019,8.5181,3140000,37
Addis Ababa,Ethiopia,ET,9.0353,38.6981,3100000,34
Nairobi,Kenya,KE,-1.2814,36.8147,3010000,42
Benoni,South Africa,ZA,-26.1476,28.328,2986000,52
Dar es Salaam,Tanzania,TZ,-6.7981,39.2664,2930000,36
Durban,South Africa,ZA,-29.8631,30.9781,2729000,52
Giza,Egypt,EG,30.01,31.19,2681863,55
Ibadan,Nigeria,NG,7.382,3.928,2628000,37
Dakar,Senegal,SN,14.7178,-17.4751,2604000,38
Tunis,Tunisia,TN,36.8028,10.1797,2412500,65
Omdurman,Sudan,SD,15.6167,32.48,2395159,35
Tripoli,Libya,LY,32.8925,13.18,2189000,58
Accra,Ghana,GH,5.552,-0.2187,2121000,45
Douala,Cameroon,CM,4.0624,9.708,1906000,38
Rabat,Morocco,MA,34.0253,-6.8364,1705000,53
Antananarivo,Madagascar,MG,-18.9147,47.5147,1697000,32
Kumasi,Ghana,GH,6.6919,-1.632,1646000,45
Yaoundé,Cameroon,CM,3.8686,11.5147,1611000,38
Abuja,Nigeria,NG,9.0853,7.5314,1576000,37
Harare,Zimbabwe,ZW,-17.8158,31.0428,1572000,40
Bamako,Mali,ML,12.652,-8.002,1494000,28
Conakry,Guinea,GN,9.5335,-13.6822,1494000,30
Lomé,Togo,TG,6.1339,1.2208,1452000,36
Maputo,Mozambique,MZ,-25.9533,32.5872,1446000,32
Kaduna,Nigeria,NG,10.522,7.4381,1442000,37
Kampala,Uganda,UG,0.3186,32.5814,1420000,38
Brazzaville,Congo (Brazzaville),CG,-4.2572,15.2827,1355000,36
Lubumbashi,Congo (Kinshasa),CD,-11.6781,27.4781,1352000,28
Pretoria,South Africa,ZA,-25.705,28.2275,1338000,52
Lusaka,Zambia,ZM,-15.4147,28.2814,1328000,38
Mbuji-Mayi,Congo (Kinshasa),CD,-6.1481,23.5981,1295000,28
Benin City,Nigeria,NG,6.3424,5.6181,1190000,37
Banghazi,Libya,LY,32.1187,20.0648,1180000,58
Ouagadougou,Burkina Faso,BF,12.3723,-1.5267,1149000,32
Mogadishu,Somalia,SO,2.0686,45.3647,1100000,19
Huambo,Angola,AO,-12.748,15.7581,1100000,32
Ikare,Nigeria,NG,7.5304,5.76,1099931,37
Vereeniging,South Africa,ZA,-26.6477,27.958,1074000,52
Monrovia,Liberia,LR,6.3146,-10.7997,1041000,32
Port Elizabeth,South Africa,ZA,-33.9681,25.5981,1021000,52
Port Harcourt,Nigeria,NG,4.8119,7.0081,1020000,37
Fez,Morocco,MA,34.0565,-5.0023,1002000,53
N'Djamena,Chad,TD,12.115,15.0472,989000,24
Ogbomosho,Nigeria,NG,8.132,4.238,951000,37
Djibouti,Djibouti,DJ,11.595,43.148,923000,35
Niamey,Niger,NE,13.5187,2.1147,915000,26
Aba,Nigeria,NG,5.1004,7.35,897560,37
Maiduguri,Nigeria,NG,11.8519,13.1581,896000,37
Zaria,Nigeria,NG,11.0819,7.7081,889000,37
Mombasa,Kenya,KE,-4.0381,39.688,882000,42
Marrakesh,Morocco,MA,31.6319,-8.0019,872000,53
Kigali,Rwanda,RW,-1.9516,30.0586,860000,44
Bangui,Central African Republic,CF,4.3666,18.5583,831925,22
Warri,Nigeria,NG,5.52,5.76,830106,37
Freetown,Sierra Leone,SL,8.472,-13.2362,827000,30
Agadir,Morocco,MA,30.44,-9.62,825467,53
Jos,Nigeria,NG,9.93,8.89,816824,37
Oran,Algeria,DZ,35.7119,-0.6219,798000,62
Ilorin,Nigeria,NG,8.492,4.548,771000,37
Kananga,Congo (Kinshasa),CD,-5.8881,22.3981,765000,28
Cotonou,Benin,BJ,6.402,2.518,762000,38
Pietermaritzburg,South Africa,ZA,-29.61,30.39,750845,52
Tangier,Morocco,MA,35.7473,-5.8327,750060,53
Nouakchott,Mauritania,MR,18.0864,-15.9753,742144,34
Oyo,Nigeria,NG,7.8504,3.93,736072,37
Sokoto,Nigeria,NG,13.06,5.24,732178,37
Moshi,Tanzania,TZ,-3.3396,37.34,721018,36
Bulawayo,Zimbabwe,ZW,-20.17,28.58,699385,40
Meknes,Morocco,MA,33.9004,-5.56,697628,53
Enugu,Nigeria,NG,6.45,7.5,688862,37
Pointe-Noire,Congo (Brazzaville),CG,-4.77,11.88,659084,36
Ismaïlia,Egypt,EG,30.5903,32.26,656135,55
Lilongwe,Malawi,MW,-13.9833,33.7833,646750,35
Kikwit,Congo (Kinshasa),CD,-5.03,18.85,637736,28
Bur Said,Egypt,EG,31.26,32.29,623864,55
Asmara,Eritrea,ER,15.3333,38.9333,620802,28
Luxor,Egypt,EG,25.7,32.65,609248,55
Constantine,Algeria,DZ,36.36,6.5999,605179,62
Sohag,Egypt,EG,26.5504,31.7,600000,55
El Mansura,Egypt,EG,31.0504,31.38,600000,55
Port Louis,Mauritius,MU,-20.1666,57.5,595491,68
Abeokuta,Nigeria,NG,7.1604,3.35,593100,37
Blantyre,Malawi,MW,-15.79,34.9899,584877,35
Kisangani,Congo (Kinshasa),CD,0.52,25.22,578470,28
Libreville,Gabon,GA,0.3854,9.458,578156,48
Bouaké,Ivory Coast,CI,7.69,-5.03,567481,36
Uyo,Nigeria,NG,5.008,7.85,554906,37
Kenitra,Morocco,MA,34.2704,-6.58,551786,53
Matola,Mozambique,MZ,-25.9696,32.46,543907,32
Beira,Mozambique,MZ,-19.82,34.87,530604,32
Blida,Algeria,DZ,36.4203,2.83,511348,62
Suez,Egypt,EG,30.005,32.5499,508335,55
Annaba,Algeria,DZ,36.92,7.76,503524,62
Damanhûr,Egypt,EG,31.0504,30.47,500000,55
Awka,Nigeria,NG,6.2104,7.07,500000,37
El Minya,Egypt,EG,28.09,30.75,500000,55
Mwanza,Tanzania,TZ,-2.52,32.93,493944,36
Port Sudan,Sudan,SD,19.6158,37.2164,489725,35
Beni Suef,Egypt,EG,29.0804,31.09,489450,55
Ife,Nigeria,NG,7.4804,4.56,482365,37
Nazret,Ethiopia,ET,8.55,39.27,476892,34
Bloemfontein,South Africa,ZA,-29.12,26.2299,463064,52
Calabar,Nigeria,NG,4.9604,8.33,461796,37
Sfax,Tunisia,TN,34.75,10.72,453050,65
Chlef,Algeria,DZ,36.1704,1.32,449167,62
Ado Ekiti,Nigeria,NG,7.6304,5.22,446749,37
Bamenda,Cameroon,CM,5.96,10.15,445299,38
Garoua,Cameroon,CM,9.3,13.39,436899,38
Bukavu,Congo (Kinshasa),CD,-2.51,28.84,436779,28
Likasi,Congo (Kinshasa),CD,-10.97,26.78,434408,28
Katsina,Nigeria,NG,12.9904,7.6,432149,37
Welkom,South Africa,ZA,-27.97,26.73,431944,52
Arak,Algeria,DZ,25.28,3.75,423251,62
Akure,Nigeria,NG,7.2504,5.2,420594,37
Asyut,Egypt,EG,27.19,31.1799,420585,55
Kolwezi,Congo (Kinshasa),CD,-10.7167,25.4724,418000,28
Oujda,Morocco,MA,34.69,-1.91,409391,53
Oshogbo,Nigeria,NG,7.7704,4.56,408245,37
Kitwe,Zambia,ZM,-12.81,28.22,404901,38
Tanta,Egypt,EG,30.7904,31.0,404901,55
Zanzibar,Tanzania,TZ,-6.16,39.2,403658,36
Bissau,Guinea Bissau,GW,11.865,-15.5984,403339,28
Mbale,Uganda,UG,1.0904,34.17,402368,38
Kassala,Sudan,SD,15.46,36.39,401477,35
Ndola,Zambia,ZM,-12.9999,28.65,396339,38
Kisumu,Kenya,KE,-0.09,34.75,395615,42
Al-Ubayyid,Sudan,SD,13.1833,30.2167,393311,35
Nyala,Sudan,SD,12.06,24.89,392373,35
Nampula,Mozambique,MZ,-15.136,39.293,388526,32
Misrata,Libya,LY,32.38,15.1,386120,58
Béjaïa,Algeria,DZ,36.7604,5.07,384937,62
Nakuru,Kenya,KE,-0.28,36.07,364727,42
Maseru,Lesotho,LS,-29.3167,27.4833,361324,38
Tamale,Ghana,GH,9.4004,-0.84,360579,45
Bobo Dioulasso,Burkina Faso,BF,11.18,-4.29,360106,32
Safi,Morocco,MA,32.32,-9.24,353476,53
Eldoret,Kenya,KE,0.52,35.27,353381,42
Mbombela,South Africa,ZA,-25.4696,30.98,348138,52
Kosti,Sudan,SD,13.17,32.66,345068,35
Arusha,Tanzania,TZ,-3.36,36.67,341136,36
Chitungwiza,Zimbabwe,ZW,-18.0,31.1,340360,40
East London,South Africa,ZA,-32.97,27.87,338627,52
Beni,Congo (Kinshasa),CD,0.4904,29.45,332903,28
Medani,Sudan,SD,14.4,33.52,332714,35
Bujumbura,Burundi,BI,-3.3761,29.36,331700,30
Sousse,Tunisia,TN,35.83,10.625,327004,65
Maroua,Cameroon,CM,10.5956,14.3247,319941,38
El Faiyum,Egypt,EG,29.31,30.84,316772,55
Bauchi,Nigeria,NG,10.3104,9.84,316149,37
Aswan,Egypt,EG,24.0875,32.8989,313442,55
Sapele,Nigeria,NG,5.8904,5.68,309162,37
Antsirabe,Madagascar,MG,-19.85,47.0333,307921,32
Ksar El Kebir,Morocco,MA,35.0204,-5.91,306600,53
Kom Ombo,Egypt,EG,24.47,32.95,303962,55
Qena,Egypt,EG,26.1505,32.72,302027,55
Jinja,Uganda,UG,0.4404,33.1999,301619,38
Porto-Novo,Benin,BJ,6.4833,2.6166,300000,38
Curepipe,Mauritius,MU,-20.3162,57.5166,299975,68
Dumyat,Egypt,EG,31.4204,31.82,299459,55
Thiès,Senegal,SN,14.8104,-16.93,293001,38
Makurdi,Nigeria,NG,7.73,8.53,292645,37
Minna,Nigeria,NG,9.62,6.55,291905,37
Mbeya,Tanzania,TZ,-8.89,33.43,291649,36
Bafoussam,Cameroon,CM,5.4904,10.4099,290768,38
Butembo,Congo (Kinshasa),CD,0.13,29.28,286403,28
Sekondi,Ghana,GH,4.9433,-1.704,286248,45
Zagazig,Egypt,EG,30.5833,31.5167,285097,55
Batna,Algeria,DZ,35.57,6.17,280798,62
Kaolack,Senegal,SN,14.15,-16.1,277812,38
Owo,Nigeria,NG,7.2004,5.59,276574,37
Mbandaka,Congo (Kinshasa),CD,0.04,18.26,274996,28
Sétif,Algeria,DZ,36.18,5.4,274744,62
Gombe,Nigeria,NG,10.2904,11.17,270366,37
