city,country,country_code,latitude,longitude,population,medical_services_score,total_facilities,hospitals,clinics,health_centers,pharmacies,laboratories,other,total_beds,emergency_facilities,facilities_per_100k,health_capacity_score
Cairo,Egypt,EG,30.0519,31.248,11893000,55,305,103,88,0,101,3,10,0,3,2.6,60
Lagos,Nigeria,NG,6.4452,3.3896,9466000,37,564,497,17,0,41,0,9,4,0,6.0,48
Kinshasa,Congo (Kinshasa),CD,-4.3278,15.313,7843000,28,1160,46,849,0,259,2,4,0,1,14.8,64
Luanda,Angola,AO,-8.8363,13.2325,5172900,32,365,6,89,0,243,2,25,0,1,7.1,57
Khartoum,Sudan,SD,15.59,32.5322,4754000,35,660,48,51,0,533,4,24,0,1,13.9,67
Alexandria,Egypt,EG,31.202,29.948,4165000,55,239,45,30,0,158,2,4,0,3,5.7,69
Abidjan,Ivory Coast,CI,5.3219,-4.042,3802000,36,0,0,0,0,0,0,0,0,0,0.0,14
Johannesburg,South Africa,ZA,-26.1681,28.0281,3435000,52,273,9,66,0,141,2,55,0,4,7.9,74
Algiers,Algeria,DZ,36.765,3.0486,3354000,62,1770,45,827,0,748,27,123,0,5,52.8,85
Cape Town,South Africa,ZA,-33.9181,18.433,3215000,52,198,7,63,0,100,0,28,248,3,6.2,69
Casablanca,Morocco,MA,33.6019,-7.6183,3181000,53,948,19,89,0,782,14,44,0,2,29.8,74
Kano,Nigeria,NG,12.0019,8.5181,3140000,37,71,52,4,0,14,0,1,0,0,2.3,37
Addis Ababa,Ethiopia,ET,9.0353,38.6981,3100000,34,366,44,107,0,183,1,31,0,0,11.8,59
Nairobi,Kenya,KE,-1.2814,36.8147,3010000,42,1090,164,367,0,485,20,54,622,12,36.2,77
Benoni,South Africa,ZA,-26.1476,28.328,2986000,52,82,3,14,0,35,0,30,853,17,2.7,54
Dar es Salaam,Tanzania,TZ,-6.7981,39.2664,2930000,36,1339,44,253,0,1010,9,23,0,50,45.7,74
Durban,South Africa,ZA,-29.8631,30.9781,2729000,52,53,6,10,0,32,1,4,0,2,1.9,50
Giza,Egypt,EG,30.01,31.19,2681863,55,221,38,58,0,97,8,20,0,3,8.2,77
Ibadan,Nigeria,NG,7.382,3.928,2628000,37,125,43,30,0,40,0,12,0,0,4.8,44
Dakar,Senegal,SN,14.7178,-17.4751,2604000,38,574,6,170,0,359,2,37,66,10,22.0,75
