X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
12.3012058703715,-5.5447983051304,"11459451740",node,12.5,hospital,hospital,Entrada Principal,,,,,,,,,,,,,,,,,,,,,,,,145572531,1,2023/12/27 12:23:36+00,84ae409609cb4d059a5b5b455c0db24a
,,"420817749",way,9.375,pharmacy,,Farmácia Simena,,,,,,,,,,,,,,,,,,,,,,,,39558276,1,2016/05/25 14:55:53+00,4fe812811d8b4ac2bbc04a442c9113da
,,"443826596",way,34.375,hospital,hospital,Centro Médico Corpo & Mente,Grupo Unione,,,private,,24/7,,,,,,,yes,,,,,,,"659",Avenida 4 Fevereiro,,Lubango,101788837,5,2021/03/26 11:44:23+00,ee6c54fecf924b548b6949feec806943
,,"919609484",way,28.125,hospital,hospital,Centro de Saúde do Rio Capitão (CS Rio Capitão),Direção Municipal da Saúde do Lubango,,"Banco_de_Urgências;Consultas_gerais;PAV;CPN;Partos;PF;Aconselhamento_e_Testagem_Voluntária_de_VIH;PTV;Pediatria;Medicina;Curativos;Injeções;Puericultura;Laboratório;Farmácia;IEC.",public,,,,,,,,,,,,,,,,,Avenida da Indústria,,Lubango,107020952,2,2021/06/27 02:38:53+00,7ef009836b5748cda1a4442e17d70bef
13.2923158806776,-8.89792091838194,"12880219881",node,12.5,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,Kilamba Kiaxi,167074321,1,2025/06/02 04:55:04+00,ce0bf793e8974b48973003d18cdaa036
13.1654108491455,-8.93394692495491,"4555877391",node,9.375,clinic,,Clínica Morales,,,,,,,,,,,,,,,,,,,,,,,,44706180,2,2016/12/27 13:27:10+00,6b1b7ef8c78f40e2bde42c1090f785e6
,,"917062620",way,18.75,clinic,clinic,Posto Médico do Senhor Domingos,,,,,,,,,,,,,,,,,,,,Ferrovia,,,Lubango,100993217,1,2021/03/14 15:00:02+00,176f5bde017f4e5c91155892b128e8f4
,,"473607957",way,12.5,clinic,,Centro Médico,,,,,,,,,,,,,,,,,,,,,,,Luanda,45951354,1,2017/02/09 16:21:59+00,f2057092742143b79dc01d44118f14b4
13.2279179700526,-8.89667033842844,"7207704906",node,25,clinic,clinic,Centro Médico Cardiozono,,,,,,"Mo 08:00-17:00, Sa 08:00-12:00",,,,,,,,,,,,,,"1",Rua 3,,Luanda,80943184,1,2020/02/13 07:50:39+00,16915d8a0c06490f9ce9fc857b8e026a
13.247337247144,-8.93547310188475,"6605385252",node,18.75,clinic,clinic,Clínica Éden,,,,,,,,,,,,,,,,,,,,"61",Rua dos Lírios,,,72136817,1,2019/07/11 13:44:56+00,c3ec6cd6bb634a539892279a9fc21ee8
13.489282055714,-14.9200022669833,"5798460154",node,31.25,hospital,hospital,Banco de Urgência Obstétrica - Maternidade Irene Neto,MINSA-Ministério da Saúde,,Obstetrics-Gynecology,public,,,,,,,,,yes,,,,,,,,Avenida 14 de Abril,,Lubango,120040215,5,2022/04/22 09:44:42+00,db4d0400f07c497fb38dd858c502fead
,,"184256060",way,25,hospital,hospital,Hospital Militar do Lubango,Ministério da Defesa,,,military,,,,,,,,,,,,,,,,,Rua do Estado Maior,,Lubango,88318132,6,2020/07/22 02:28:29+00,9373f0b1bcf2484a8bb0f802f42e6590
13.4933505476954,-14.9203588331443,"4208936390",node,25,clinic,clinic,Clínica Anaclin,,,,,,08:00-16:00,,,,,,,yes,,,,,,,,Rua Anibal de Melo,,Lubango,106924965,7,2021/06/24 21:48:44+00,6d55319c775f4f26a6c34fddd8f86aa1
,,"1204647545",way,9.375,hospital,,Hospital Municipal de Buco-Zau,,,,,,,,,,,,,,,,,,,,,,,,140753631,1,2023/09/03 11:22:39+00,248c21cb188f4be4870d3bbd708afafe
13.2386444591818,-8.91211877271044,"5664433604",node,21.875,pharmacy,pharmacy,Farmácia Muzadi,,,,,,,,,,,yes,,,,,,,,,,Rua do Mufulama,,Luanda,59545758,1,2018/06/04 17:56:46+00,96bf447421644eabbd6fc5d5a96b99c7
13.2296128746933,-8.89672892793163,"8875754075",node,12.5,dentist,dentist,Odonto Excellence,,,,,,,,,,,,,,,,,,,,,,,,107162533,1,2021/06/29 17:29:46+00,e50e75b213ca4626b5ee2322509132e7
13.3949903388777,-8.98702800901023,"11093013305",node,9.375,pharmacy,,Farmácia,,,,,,,,,,,,,,,,,,,,,,,,139506682,1,2023/08/06 08:54:13+00,51735ed501fb4d05a338cd9831ae164e
,,"207202557",way,18.75,hospital,hospital,Hospital Militar Central,,,,,,,,,,,,,yes,,,,,,,,,,Luanda,137224219,3,2023/06/12 02:01:23+00,b5491bf59b234528a61cf9154c32b17f
,,"1328357109",way,15.625,hospital,hospital,Quimbele Hospital,,,,,,,,,,,,,,,,,,,,,,,Kimbele,158406476,2,2024/10/27 10:30:13+00,c0857efca54347f4a59656ce31353c32
,,"152307630",way,15.625,mortuary,hospital,Casa Mortuária do Hospital Josina Machel,,,,,,,,,,,,,,,,,,,,,,,Luanda,124878703,5,2022/08/14 08:50:26+00,2e864cf597f74dbbaf3cf0fcaf13222e
13.4162307520716,-12.5849873550646,"4167398309",node,18.75,clinic,clinic,Centro Médico Nossa Senhora das Dores,,,,,,"Mo-Fr 07:30-15:00; Sa 08:00-09:30",,,,,,,,,,,,,,,,,Benguela,134291993,2,2023/03/30 07:52:22+00,f1c9e3dc7a8a4239840db6187a59d6af
,,"1122850425",way,18.75,pharmacy,pharmacy,farmacia bom samaritano,,,,,,Mo-Fr 08:00-11630,,,,,yes,,,,,,,,,,,,,130181003,1,2022/12/17 09:58:11+00,2386b3535b6149a4839796d9fc2ab3cf
13.2537651610497,-8.90143586947775,"6136077627",node,18.75,pharmacy,pharmacy,Farmácia Famorosa,,,,,,24/7,,,,,yes,,,,,,,,,,,,,65457993,1,2018/12/13 23:56:47+00,05f9f582168a4cef8389d5f6523f88cd
13.1844734762569,-8.92534273370924,"12250035899",node,18.75,hospital,hospital,Urgência Pediatria (CSE-LS),,,,,,,,,,,,,,,,,,,,,Via S10,,"Talatona, Luanda",157867274,2,2024/10/14 09:25:13+00,e99cc1a20a9b4d69bef1406d30c0b969
