X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
,,"786503718",way,12.5,hospital,hospital,CDS NONWE,,,,,,,,,,,,,,,,,,,,,,,,82919919,1,2020/04/01 11:20:16+00,39a1cf722fb644efa4dc1396e6f85cad
,,"784754660",way,18.75,hospital,hospital,CDS Kanyosha,,PSI Survey,,,,24/7,,,,,,,,,,,,,,,,,,114119302,2,2021/11/23 01:02:56+00,e85117fc516246c6929cb4a6f2b7a372
,,"789801010",way,12.5,hospital,hospital,CDS SAINTE TRINITE,,,,,,,,,,,,,,,,,,,,,,,,83292058,1,2020/04/09 07:58:29+00,de82d1ced75142f995592e40f03b94c5
29.2015369915664,-2.88570305815907,"5277794890",node,9.375,hospital,,CDS MURWI,,,,,,,,,,,,,,,,,,,,,,,,54542846,1,2017/12/11 15:18:55+00,904f4f93090c4a65989dcc91cb4fe89b
,,"1410521949",way,9.375,hospital,hospital,,,,,,,,,,,,,,,,,,,,,,,,,168258875,1,2025/06/29 10:20:41+00,242a15b731a2440fb899f8b0c9fc308e
30.0235759682357,-3.61710507923283,"5277795060",node,9.375,hospital,,CDS SAINT AIMABLE,,,,,,,,,,,,,,,,,,,,,,,,54542846,1,2017/12/11 15:18:59+00,2c27cbee595f4a73b8076830832b7f06
,,"789776803",way,12.5,hospital,hospital,CDS CAHI,,,,,,,,,,,,,,,,,,,,,,,,83286933,1,2020/04/09 06:38:54+00,9a9fa95da31e4b06aa1d125043345f56
,,"784861819",way,18.75,hospital,hospital,CDS Nyavyamo,,PSI survey,,,,24/7,,,,,,,,,,,,,,,,,,83368019,2,2020/04/10 13:55:22+00,519d81c21d6747de99dc98e0f3f2e4b3
,,"787387294",way,12.5,hospital,hospital,CDS VYIZIGIRO/KARONGE,,,,,,,,,,,,,,,,,,,,,,,,83015848,1,2020/04/03 07:33:59+00,9a0a6c757eb8462c9016f06e8b32adee
,,"786178988",way,12.5,hospital,hospital,CDS NDAVA,,,,,,,,,,,,,,,,,,,,,,,,82867606,1,2020/03/31 11:01:12+00,0d0e1ab71c6d4afebd967280bb2e47e2
,,"788554333",way,12.5,hospital,hospital,CDS SEHE,,,,,,,,,,,,,,,,,,,,,,,,83150871,1,2020/04/06 14:08:32+00,3e79d381951c4d0cb0c2adcb46bcf728
,,"789265303",way,12.5,hospital,hospital,CDS BORA UZIMA II,,,,,,,,,,,,,,,,,,,,,,,,83250119,1,2020/04/08 11:19:59+00,22339551ceb141a6b08f3b32c7c2ebec
,,"786566147",way,12.5,hospital,hospital,CDS NYANGWA,,,,,,,,,,,,,,,,,,,,,,,,100907062,2,2021/03/12 12:03:03+00,28635cf136d244d6ac408ab906d8e3eb
29.679934953385,-4.30955706681155,"5277793908",node,9.375,hospital,,CDS UMUCO,,,,,,,,,,,,,,,,,,,,,,,,54542846,1,2017/12/11 15:18:33+00,c67cf20845384b38b343471dce532502
,,"789801308",way,12.5,hospital,hospital,CDS BUVYUKO,,,,,,,,,,,,,,,,,,,,,,,,83292134,1,2020/04/09 07:59:38+00,0d3c5868f3804509b5967e1ce7235233
29.125091352415,-2.8811830330537,"5277794875",node,9.375,hospital,,CDS CIBITOKE,,,,,,,,,,,,,,,,,,,,,,,,62700281,2,2018/09/18 15:00:13+00,57f9c01bd0fc4040a046804c71d6c956
29.3684782674259,-3.40233331110403,"10804372605",node,15.625,hospital,,Tanganyika Care Polyclinic,,,,,,24/7,,,,,,,,,,,,,,,"Chaussée de Gitega, Kinanira 5",,,134813419,2,2023/04/12 11:51:09+00,3f0fd2527b3842cc9cb4059e51fce34d
29.9472479271857,-4.11937101325225,"5277795208",node,12.5,hospital,hospital,CDS MIRUKIRO,,,,,,,,,,,,,,,,,,,,,,,,84540568,2,2020/05/02 23:19:23+00,f46cdec9cbf3461e8dfb6cb8cc944f61
29.3560079233414,-3.43359403808481,"5277793441",node,9.375,hospital,,HORIZON,,,,,,,,,,,,,,,,,,,,,,,,54542846,1,2017/12/11 15:18:25+00,9616383512434780ad95130afcf6d693
,,"787518435",way,12.5,hospital,hospital,CDS SAGARA,,,,,,,,,,,,,,,,,,,,,,,,83035103,1,2020/04/03 12:58:36+00,461050abe36743a9b1ae6860f376ba4a
,,"789867707",way,12.5,hospital,hospital,CDS MURENDA,,,,,,,,,,,,,,,,,,,,,,,,104065409,3,2021/05/03 15:07:45+00,cdab1d4ba582482298ae7414813fdfca
,,"789845031",way,12.5,hospital,hospital,CDS BUNYUKA,,,,,,,,,,,,,,,,,,,,,,,,83299142,1,2020/04/09 09:49:34+00,6cf77ee2ac42436a86dcd51f7f4626ca
,,"789303545",way,12.5,hospital,hospital,ABUBEF,,,,,,,,,,,,,,,,,,,,,,,,113956761,2,2021/11/18 18:30:06+00,4414d4437a6642c28cbbf2941bbdd061
,,"789789988",way,12.5,hospital,hospital,CDS KABANGA,,,,,,,,,,,,,,,,,,,,,,,,83289643,1,2020/04/09 07:23:10+00,5867b59b591c4105bbb621c527349251
,,"788775086",way,12.5,hospital,hospital,CDS HILFE,,,,,,,,,,,,,,,,,,,,,,,,83181107,1,2020/04/07 07:39:30+00,3478a4fa3f75482fb509da63d551a1d8
29.3625498311303,-3.38174752454793,"2197194864",node,15.625,pharmacy,,PHARMACIE HORIZON,,Open Source Society Burundi,,,,,,,,,no,,,,,,,,,,,,,28993927,2,2015/02/21 09:08:32+00,9767d6449c9a4c37be87fb8d2866e24c
,,"1280642787",way,12.5,clinic,clinic,,,microsoft/BuildingFootprints,,,,,,,,,,,,,,,,,,,,,,151020728,1,2024/05/07 17:16:49+00,6ef8c500eada47369d1be43b1b18babd
,,"789265749",way,12.5,hospital,hospital,CDS SANTE POUR TOUS,,,,,,,,,,,,,,,,,,,,,,,,83250192,1,2020/04/08 11:21:23+00,41cdb8d110d64c56a775bcdcf124a174
,,"787481877",way,12.5,hospital,hospital,CDS FRATERNITE,,,,,,,,,,,,,,,,,,,,,,,,83027740,1,2020/04/03 10:43:00+00,2e40bb604f18400fb24d7700caf75c6d
30.3414899885807,-2.8444660223831,"5277793996",node,9.375,hospital,,PRISON,,,,,,,,,,,,,,,,,,,,,,,,54542846,1,2017/12/11 15:18:37+00,703e51d6043a43c88edbaab2a27951f1
,,"786574295",way,12.5,hospital,hospital,CDS RUKINA,,,,,,,,,,,,,,,,,,,,,,,,82930485,1,2020/04/01 14:53:55+00,0d7ac135c4a84d58afbfea0f78895ccd
,,"789249529",way,12.5,hospital,hospital,CDS RUBANDA,,,,,,,,,,,,,,,,,,,,,,,,83247661,1,2020/04/08 10:35:55+00,4b49712b508742309b95864fe2346784
,,"787535995",way,12.5,hospital,hospital,CDS NYANGE,,,,,,,,,,,,,,,,,,,,,,,,83037971,1,2020/04/03 14:00:35+00,79ee12f81ae64ec981e3e1b9a537902a
,,"788559181",way,12.5,hospital,hospital,CDS NDORA IZERE,,,,,,,,,,,,,,,,,,,,,,,,83151539,1,2020/04/06 14:20:26+00,9dd7f11bafec4c9394dad5074a20892c
,,"190812841",way,15.625,hospital,hospital,CDS AMANI,,Binf,,,,,,,,,,,,,,,,,,,,,,83308702,2,2020/04/09 12:24:44+00,89cac18df2a0495089911c2088645b0b
29.3651417670486,-3.38037347916071,"596518483",node,12.5,doctors,doctor,Clinique de l'oeil,,,,,,,,,,,,,,,,,,,,,,,,158298889,5,2024/10/24 14:08:58+00,225140db471445e58b754b05eb1fb5cb
,,"786528312",way,12.5,hospital,hospital,CDS ST GEOGRE,,,,,,,,,,,,,,,,,,,,,,,,82923350,1,2020/04/01 12:33:07+00,b322850e252c4592b632257570ec595b
