X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
25.9159656447328,-24.6574095549978,"4515402295",node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,138712581,2,2023/07/19 11:36:10+00,f0ac4943c6f54f1fafde0b7c31f767c1
23.4208159814267,-19.9913202314803,"2624724614",node,12.5,dentist,dentist,Delta Dental Clinic,,,,,,,,,,,,,,,,,,,,,,,,20034359,1,2014/01/16 14:08:53+00,ac22d1212e5743fdba4d84c8972e9fa6
25.982046473877,-24.5399355056403,"4625260489",node,6.25,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,45397332,1,2017/01/23 11:54:45+00,316e6a2e2c8648a8a6f3ae97bac66bae
,,"109781003",way,12.5,clinic,clinic,120 - Health Clinic,,,,,,,,,,,,,,,,,,,,,,,,43090737,7,2016/10/22 22:40:39+00,2a1bbc8a116843ab8af526f79195c3f8
,,"605202294",way,12.5,hospital,hospital,Masunga Primary Hospital,,,,,,,,,,,,,,,,,,,,,,,,138021482,3,2023/07/02 12:24:12+00,675c45f6178f481e8c3dde961b0edb8d
,,"377010354",way,9.375,clinic,,Tsau Clinic,,,,,,,,,,,,,,,,,,,,,,,,35202621,2,2015/11/09 21:21:04+00,228f4a47724043e69e6858e9f64089d5
27.4576843832496,-21.4412142149029,"4812841621",node,12.5,clinic,,Masedi Clinic,Botswana Government Property,,,,,,,,,,,,,,,,,,,,,,,48079188,1,2017/04/24 05:25:55+00,df2ad551b7bf4f92b6edbaf2509de004
28.4110440618619,-21.9616040028783,"5227766948",node,18.75,clinic,clinic,Borotsi Clinic,,,,,,,,,,,,,,,,,,,,,Bag 13,,Bobonong,53763756,1,2017/11/14 07:56:39+00,90d5c897215c4c11819bb7f68a7953f5
25.5413361471165,-24.671052108241,"4233383177",node,9.375,clinic,,Dr Modukanele's Clinic ,,,,,,,,,,,,,,,,,,,,,,,,39901359,1,2016/06/09 08:23:09+00,f51ef6bca9d148a79d7d323355f0ebcf
22.1775235898336,-18.7337309114632,"4066675089",node,9.375,clinic,,Sepopa Clinic,,,,,,,,,,,,,,,,,,,,,,,,37919138,1,2016/03/18 13:39:06+00,f6b97a08c603447caeeb3219d0bb7138
,,"783850555",way,15.625,hospital,hospital,Hukuntsi Primary Hospital,,,,,,,,,,,,,,,,,,,,,,,Hukuntsi,167491808,3,2025/06/11 13:25:56+00,65ab4900b75342289e7456e1dd63e313
