X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
43.1459617954268,11.5954613578261,"3644582972",node,21.875,clinic,clinic,Pôle Medical المركز الطبي,"Dr Guillard, Dr Dell'Aquila",,general,,,,,,,,,,,,,,,,,,,,جيبوتي,79469513,4,2020/01/12 08:36:49+00,fd8a4954019143ac8f7a404b73ad2845
43.1524777193159,11.5685503356781,"5359716344",node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,55724302,1,2018/01/24 21:10:22+00,12967dd31dc348828ce7f356252aa4b4
,,"400002960",way,6.25,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,37442253,2,2016/02/25 17:49:29+00,3086177204f34204b2150b25fa98a8d9
,,"554269783",way,15.625,hospital,hospital,Hôpital Docteur Chakib Saad Omar مستشفى الدكتور شكيب سعد عمر,,,,,,,,,,,,,,,,,,,,,,,جيبوتي,172509033,5,2025/09/27 03:20:49+00,57ea66549ed44b3a9a9fa22fa60cd6ad
43.1458760485574,11.5914710690013,"5814678354",node,15.625,pharmacy,pharmacy,الصيدلية الوطنية,,,,,,Sa-Th 08:00-23:00,,,,,,,,,,,,,,,,,,93720257,4,2020/11/07 20:47:01+00,3d6259ad75ed401bbb0548353145b87b
43.1522366557806,11.5909344595601,"4620272290",node,15.625,clinic,clinic,Ministere de la santè وزارة الصحة,,,,,,,,,,,,,,,,,,,,,,,جيبوتي,79469513,3,2020/01/12 08:36:49+00,842d50bbcc27433db931588cef4152d3
,,"400002964",way,6.25,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,37442253,2,2016/02/25 17:49:29+00,ab9f82df5c604d1bb751bf6330a180a0
43.1477839373577,11.5963580538275,"4631673591",node,15.625,doctors,doctor,Nicolas Gorgalis طبيب عام,Nicolas Gorgalis,,,,,,,,,,,,,,,,,,,,,,,78394317,4,2019/12/13 22:09:24+00,e245935e70ac44a691715d1213554578
,,"551157489",way,15.625,hospital,hospital,Hôpital de Tadjourah مستشفى تجرة,,,,,,,,,,,,,,,,,,,,,,,تجرة,120139754,4,2022/04/24 21:38:33+00,75756971f82c4ff8a4b4520d472871f8
43.1085916668609,11.5502165988667,"5314085236",node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,79788292,3,2020/01/20 09:33:51+00,4d991f46c1df43398e2cf9936a0a45cc
