X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
31.7367213904573,30.6133194670874,"7234296652",node,34.375,clinic,clinic,الدكتور هيثم الطحلاوي لطب الفم وجميل الاسنان,د هيثم الطحلاوي,,"dentist;dentistry",public,,,,,,,,,no,,,,,,,,شارع عبد العزيز هاشم بركات,"44776",القرين,94802322,2,2020/11/25 23:45:16+00,ef437516174a4c1bad720924c5b91e72
,,"288784635",way,12.5,hospital,,مستوصف الغفران,,,,,,,,,,,,,no,,,,,,,,,,,65311115,2,2018/12/09 10:50:53+00,01ba8438bb7b4fd0b46c460f8883c76f
,,"95926225",way,6.25,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,7028817,1,2011/01/20 10:21:39+00,e2ec783aa6b140488880c2991eae0726
29.9059534753731,31.2025982732272,"9648152027",node,12.5,hospital,hospital,Department for Internal Medicine,,,,,,,,,,,,,,,,,,,,,,,,119420760,1,2022/04/07 09:28:17+00,a42c706c305f480483f8423888578abd
30.6764664624828,31.0966802699561,"3987566846",node,9.375,pharmacy,,صيدلية الدكتور اسماعيل الغالى,,,,,,,,,,,,,,,,,,,,,,,,94809726,2,2020/11/26 04:07:52+00,1c518c0456604a1593cdda2b979cf3fa
31.607111434952,30.1576506282854,"4385997189",node,9.375,clinic,,عيادة د ابراهيم زهران,,,,,,,,,,,,,,,,,,,,,,,,94802322,3,2020/11/25 23:45:16+00,bfecc8f57767450fb7e967788ac4b4c7
,,"47975460",way,12.5,hospital,hospital,مستشفى أحمد جلال العسكرى,,,,,,,,,,,,,,,,,,,,,,,,160541731,8,2024/12/23 15:04:56+00,b00edeb9dae04108b07caa376be569ba
27.2430947538768,31.3512467997818,"6784633286",node,12.5,hospital,hospital,مستشفى عرابي التخصصي,,,,,,,,,,,,,,,,,,,,,,,,132841567,3,2023/02/21 15:35:06+00,2ccf6b406248479f84738eb5a6b57638
,,"53329696",way,12.5,hospital,hospital,مستشفى يسرى جوهر,,,,,,,,,,,,,,,,,,,,,,,,158216855,5,2024/10/22 15:23:59+00,e0e684d8876a4efb82bf37f2d9e94771
29.9125866620875,31.1952168340165,"6572089485",node,12.5,hospital,hospital,مستشفى زمزم,,,,,,,,,,,,,,,,,,,,,,,,106986964,3,2021/06/25 23:23:58+00,63bb0375334f48d392dc0a5773e8e70a
31.2120965620844,30.0149341422448,"6455945793",node,12.5,dentist,dentist,محمود خليل,,,,,,,,,,,,,,,,,,,,,,,,88850886,2,2020/08/02 21:05:39+00,dee40efeb72b40558d8ac70a5fec3d19
31.2776043205087,29.9623874883358,"11210990834",node,21.875,doctors,doctor,مركز بهمان للعلاج النفسي,,,"psychiatry;child_psychiatry;behavior",,,Sat - Thu 10:00 - 22:00,,,,,,no,,,,,,,,,,,,171413825,3,2025/09/03 15:38:58+00,398c4c4d36ec40e9a1d622624cd980c8
,,"774515756",way,18.75,hospital,hospital,الانتاج الحربي,,,,,,,,,,,,yes,yes,,,,,,,,,,,81207860,2,2020/02/19 07:41:12+00,020ffd4aee544d229ba2b4ab0457edd0
32.9290481227181,24.4096527357731,"4826218224",node,9.375,clinic,,محمود رضا,,,,,,,,,,,,,,,,,,,,,,,,48270188,1,2017/04/30 00:27:18+00,b664de2ca2a14f359af89509e1a6ea79
31.6892454526921,30.783517531425,"6373627992",node,18.75,pharmacy,pharmacy,صيدلية,د. رانيا,,,,,,,,,,yes,,,,,,,,,,,,,94809726,2,2020/11/26 04:07:52+00,9b227d90dc134216b38e350ef1553594
31.3327899328127,30.1057898655131,"5314820374",node,12.5,clinic,,مجمع اطباء 2,,,,,,,,,,,,,,,,,,,,,الحجاز,,,94802322,2,2020/11/25 23:45:16+00,97fdf6e1ffbd4a599a897d2f9914b78c
,,"29990917",way,12.5,hospital,hospital,المستشفى اليوناني,,,,,,,,,,,,,,,,,,,,,,,,159915592,6,2024/12/04 11:44:17+00,73da21bcc4e1466fb80dcc7261d210b9
31.1797427511108,27.1906048454523,"4229667099",node,12.5,hospital,hospital,El Hayah Hospital,,,,,,,,,,,,,,,,,,,,,,,,114222570,3,2021/11/25 12:55:37+00,a3901d46463d47d7a9c0646b00b4669d
30.0004552427029,31.2414189739563,"6347592790",node,12.5,pharmacy,pharmacy,صيدلية د. محمد حمدي وافي,,,,,,,,,,,,,,,,,,,,,,,,101381650,3,2021/03/20 10:43:13+00,762414a98a274926b01e10a20a7fb86c
33.8268885892799,27.1970937796131,"11828714323",node,9.375,hospital,hospital,,,,,,,,,,,,,,,,,,,,,,,,,150182764,1,2024/04/18 15:52:00+00,0836a00a837f41e98a5f3835cb928dc1
31.691582494935,30.7834016935231,"6373625456",node,18.75,pharmacy,pharmacy,صيدلية الإيمان,د. محمود,,,,,,,,,,yes,,,,,,,,,,,,,94809726,2,2020/11/26 04:07:52+00,873f8a02f3eb48a6bace7c2727640d17
31.3282191971932,30.090673857511,"4760434421",node,9.375,clinic,clinic,,,,,,,,,,,,,,,,,,,,,,,,,128907913,3,2022/11/14 20:09:10+00,e10ea63f549b4e8db3ca5c6a7be92a1a
,,"40580280",way,21.875,doctors,doctor,Ahmed Mostafa Mahboub,,,,,,,,,,,,,,,,,,,,"15",شارع ابو داوود الظاهري,"11765",,130334292,4,2022/12/21 13:42:14+00,b347f5825a48496388cc8740439d7a43
,,"1140719305",way,18.75,hospital,hospital,الرعاية الصحية,,,,,,,,,,,,,,,,,,,,,شارع المستشفى,,بركة السبع,132290024,1,2023/02/09 06:52:57+00,fa3c1886442644278ac2cfc62ce600d0
31.308190555741,29.8817534959876,"11498990369",node,9.375,hospital,,صيدليه ضحي,,,,,,,,,,,,,,,,,,,,,,,,146012815,1,2024/01/08 03:09:03+00,b53d9c99cf5048518de296fad282e2d5
34.4338585755339,28.0324949348646,"6154999884",node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,114453945,2,2021/12/01 18:37:36+00,e50179dd41ff48eca2edd3fecc7a042b
30.0003399915342,31.243071549986,"6318356186",node,12.5,pharmacy,pharmacy,صيدلية د. سامح ماهر,,,,,,,,,,,,,,,,,,,,,,,,101381650,3,2021/03/20 10:43:13+00,a304304466c44ddeb192008344065f76
34.6207787881596,25.536667846144,"360884489",node,6.25,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,814532,1,2009/03/15 20:42:17+00,5fce82456f714d038b6bc332bb1dd43d
29.9657582706971,31.2404083678907,"6475724486",node,12.5,pharmacy,pharmacy,صيدلية أبو زيادة,,,,,,,,,,,,,,,,,,,,,,,,95188286,3,2020/12/03 03:29:43+00,ec7a264ef58e47f4b3bb89e7a8da25eb
31.6030616346147,26.6987399312619,"4576148691",node,9.375,clinic,,د.ناصر ابو عقيل,,,,,,,,,,,,,,,,,,,,,,,,44718007,1,2016/12/27 23:09:00+00,9420b75003bc4617a12601e0328cb0f8
,,"98888467",way,12.5,hospital,,Kharga Hospital,,,,,,,,,,,,,yes,,,,,,,,,,,14827380,3,2013/01/28 20:32:49+00,6d409e136cba44ff8a4a57ee858e996c
,,"88798740",way,12.5,hospital,hospital,Cleopatra Hurghada Hospital,,,,,,,,,,,,,,,,,,,,,,,,120128124,4,2022/04/24 15:09:02+00,3bb1544ca8614045abd430ddd142cdba
30.763975459452,28.0909153750604,"2445781979",node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,114132368,2,2021/11/23 09:50:55+00,5519b069376e4b5a8824d88e18cf1489
31.0888626365042,29.9551545764493,"5292044265",node,12.5,pharmacy,pharmacy,Dr. Ahmad Maher,,,,,,,,,,,,,,,,,,,,,,,,138922882,10,2023/07/24 06:45:18+00,2cdf22e853f34813b3a8588dc3c2dbd8
31.2610894566859,29.9567920650533,"11533735375",node,15.625,doctors,doctor,محمد ساهر هاشم,,,neurology,,,,,,,,,,,,,,,,,,,,,146476071,1,2024/01/20 11:59:19+00,e778b235779745f585bffd5bef882fa0
31.264261923218,29.9675479746627,"5140221524",node,18.75,hospital,hospital,مستشفى الريان,,,,,,24/7,,,,,,,,,,,,,,,"77",,,94802322,3,2020/11/25 23:45:16+00,221f3d5c44a0485886f1a3e93defc282
,,"167427173",way,12.5,hospital,,Royal,,,,,,,,,,,,,no,,,,,,,,,,,39162224,2,2016/05/07 12:03:40+00,bb3acef7cabf43b5805eb68418ff2e3c
31.6709999773211,26.6610099675928,"4576057094",node,9.375,clinic,,ممدوح الخولى,,,,,,,,,,,,,,,,,,,,,,,,44717395,1,2016/12/27 22:28:32+00,06137021cf174490a8fa715f53b5aa9e
32.9492465815285,24.4774122924849,"4826200324",node,9.375,clinic,,نادر الشوربجى,,,,,,,,,,,,,,,,,,,,,,,,48270060,1,2017/04/30 00:14:01+00,471edbc423e14919b87fcd9326d98509
31.2248108195512,30.0124785798911,"12730239173",node,21.875,pharmacy,pharmacy,صيدلية أبو الفتح,,,,,,09:00-24:00,,,,,,,,,,,,,,"12",شارع المنيل,,,164570324,2,2025/04/05 22:38:38+00,7ac8842eb08e42b7aa5f7a20570ecaaa
31.1894453907674,30.05437585818,"1920589479",node,15.625,pharmacy,pharmacy,صيدلية اللواء,,,,,,24/7,,,,,,,,,,,,,,,,,,130389369,7,2022/12/22 19:19:24+00,b830843de4e74721b927c72668bc95c5
32.9462319462331,24.4741603655107,"4826177721",node,9.375,clinic,,علاء عبد الوهاب,,,,,,,,,,,,,,,,,,,,,,,,48269537,1,2017/04/29 23:21:50+00,0fa007ab15cb49ab86bc9be4690b3b4b
30.9456078646418,29.9710977944757,"2550083713",node,18.75,pharmacy,,صيدلية د/اسلام,,,,private,,,,,,,,,,,,,,,,,ميدان الحصرى,,مدينة 6 أكتوبر,163590242,5,2025/03/13 21:58:26+00,24477b4afb0a453cafa2c3a0c88d40b0
,,"29991193",way,15.625,hospital,hospital,مستشفى الدمرداش,جامعة عين شمس,,,,,,,,,,,,,,,,,,,,,,,158184101,15,2024/10/21 19:06:41+00,73e7541b22824db282bf1ed4d04139f1
,,"171756639",way,12.5,hospital,hospital,Red Sea Hospital,,,,,,,,,,,,,,,,,,,,,,,,133087813,2,2023/02/27 13:28:16+00,2575f701dcaf40f3b70a4406708c2ce5
31.6887190691729,26.559823381025,"4576937789",node,9.375,clinic,,نظام كامل,,,,,,,,,,,,,,,,,,,,,,,,44725400,1,2016/12/28 09:16:26+00,50dd4976bb8748c0839fb34a4d16a33b
31.2286431933202,30.0319817598333,"12952190992",node,18.75,hospital,hospital,عيادة الرمد,kasralainy hospital outpatient clinic,,ophthalmology,,,,,,,,,,,,,,,,,,,,,168102772,1,2025/06/25 16:08:15+00,ba46cb10541d4209b2f9264c97dfb12a
34.5145797396751,28.4889669276287,"1866017988",node,9.375,doctors,,Sadek lab,,,,,,,,,,,,,,,,,,,,,,,,12729581,1,2012/08/14 17:30:43+00,02bd71538cb84bbb8033bef4b38c2eb3
,,"1176542030",way,9.375,pharmacy,,صيدلية,,,,,,,,,,,,,,,,,,,,,,,,136618455,1,2023/05/27 10:14:57+00,62fc539e15c84566a42d053b680acc48
31.3989234841279,30.1111747353879,"13179144202",node,6.25,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,172586428,1,2025/09/28 22:10:01+00,f06ce39d231d47dd966faccb5509fba8
32.0172919366885,31.171505351948,"10651046978",node,12.5,hospital,hospital,الوحدة الصحية بالعصافرة,,,,,,,,,,,,,,,,,,,,,,,,133274483,4,2023/03/04 00:47:35+00,636bab4cbbde43f5a395bf9cc6821f68
31.4040400492821,26.935394753101,"5427952022",node,12.5,pharmacy,,صيدلية د.دكتورة,,,,,,,,,,,,,,,,,,,,,شارع الفراغلة,,,95576955,2,2020/12/09 21:50:38+00,b8f3aab5bb8c42568b945897fb42a8be
33.8378594947057,27.2182797942555,"12101394522",node,15.625,clinic,clinic,Hurghada Medical Center,,,,,,24/7,,,,,,,,,,,,,,,,,,155041104,1,2024/08/09 21:23:50+00,c23e69a848004ae4a4e9a4ca6ba27e66
33.8267808818241,27.1833647251291,"5706607421",node,6.25,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,60024101,1,2018/06/20 21:53:08+00,2e30226619e8429d905353fbed88bd3b
31.2144597558652,30.0374676316413,"3214300154",node,12.5,hospital,hospital,مستشفى 6 اكتوبر,,,,,,,,,,,,,,,,,,,,,,,,94802322,3,2020/11/25 23:45:16+00,f66df2095cf747e9afc60a77f76337f8
31.3455817228839,30.0642053998506,"443368255",node,12.5,hospital,hospital,مركز الإيمان الطبي,,,,,,,,,,,,,,,,,,,,,,,,130387140,7,2022/12/22 18:10:34+00,e0addcfa9b3f45219db672ef72bee21c
31.217726518808,30.0424569595053,"4456253990",node,15.625,clinic,clinic,مستشفي الكاتب,,,,,,24/7,,,,,,,,,,,,,,,,,,81396051,3,2020/02/24 08:57:31+00,a5ce5dfede9a4b11bccf1017c3e83a61
29.9839752475973,31.2537048323519,"6130911696",node,9.375,pharmacy,,صيدلية نهال,,,,,,,,,,,,,,,,,,,,,,,,95188286,2,2020/12/03 03:29:43+00,7a47284887f846f7b61238a0b7dc6465
31.1781609183439,30.6995122538013,"11785791269",node,9.375,doctors,,د. محى الدين الديب,,,,,,,,,,,,,,,,,,,,,,,,149549814,1,2024/04/04 02:32:15+00,a36d9eaf5053456fb09509cdcbe887a6
,,"952620012",way,9.375,hospital,,مستشفي الشهداء المركزي,,,,,,,,,,,,,,,,,,,,,,,,113320938,2,2021/11/03 08:49:31+00,18c93214a7f5479fa52836bc1aef2185
31.3065804759605,30.0917445618223,"4302150189",node,18.75,hospital,,مستشفى منشية البكرى العام,,,,,,,,,,,,,,,,,,,,"13",شارع جسر السويس,"11774",,126327045,3,2022/09/18 11:24:48+00,e35dc20096e0488a94f20ddd7ca015e7
,,"1222266172",way,15.625,hospital,hospital,مستشفى الطلبة,جامعة القاهرة,,,,,,,,,,,,,,,,,,,,,,,158216855,7,2024/10/22 15:23:59+00,e05858921d67449eb9673119bc0931fc
34.4220353981934,27.9728211486872,"1804401058",node,9.375,pharmacy,,,,,,,,,,,,,no,,,,,,,,,,,,,94801163,3,2020/11/25 22:51:52+00,d46b9c4cb2b143be98d45ba093ff2c48
30.6737129234713,31.0943718938221,"3987578746",node,9.375,pharmacy,,صيدلية الدكتور محمود الجزار,,,,,,,,,,,,,,,,,,,,,,,,94809726,2,2020/11/26 04:07:52+00,8d0a5a8879204cd6be148873ba9cf565
32.4329329968854,26.1181686652339,"4030318934",node,12.5,hospital,,الوحده الصحية,,,,,,,,,,,,,,,,,,,,,الصبريات,,,95576955,2,2020/12/09 21:50:38+00,3c6b9880833a400fb31af92cb08b38d9
34.4292832298676,28.0422358798186,"6157536214",node,12.5,pharmacy,pharmacy,,,,,,,,,,,,,no,,,,,,,,,,,,145288630,6,2023/12/19 12:04:01+00,4387c6d20a7c4c76932ed52037e81672
31.3156637767915,29.9751121393626,"7367385103",node,25,clinic,clinic,عيادة د.أشرف سيد كامل لطب الأطفال,,,children,,,,,,,,,,,,,,,,,"10058",شارع كارفور,,القاهرة,94802322,2,2020/11/25 23:45:16+00,324aea2f708f495e84ca47226c46cc39
31.2280004689849,30.0322388328036,"12952409493",node,18.75,hospital,hospital,عيادة العلاج الطبيعى,Kasralainy hospital outpatient clinics,,physiotherapy,,,,,,,,,,,,,,,,,,,,,168108076,1,2025/06/25 18:43:18+00,05488e337bbc433b9ec4cc298d11e183
31.1976360189105,30.0468046526814,"10008144006",node,25,clinic,clinic,Dr. Hamed Kadry Plastic Surgery Clinic عيادة أ.د حامد قدري لجراحات التجميل,,,"surgery;plastic_surgery",public,,,,,,,,,,,,,,,,,شارع المدينه المنوره,,القاهرة,125927167,1,2022/09/08 06:19:15+00,517717f4df3b49e78648b5268647871d
34.6364781766227,25.5346347317102,"7114064208",node,6.25,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,79286640,1,2020/01/07 09:33:28+00,ef1d268b86b84377b80ec89e4b318e6e
31.422483337568,30.0039966806127,"3395906136",node,12.5,hospital,hospital,مركز الطبيب,,,,,,,,,,,,,,,,,,,,,,,,147516286,3,2024/02/16 05:35:48+00,f2bfc93e81a1447dad0957d3a1aa2c37
,,"92967086",way,9.375,doctors,,,,Bing,,,,,,,,,,,,,,,,,,,,,,6833652,1,2011/01/01 23:32:42+00,453d78c406774ece90d08fa799e9334a
,,"555921931",way,12.5,clinic,clinic,Cairo Medical Tower,,,,,,,,,,,,,,,,,,,,,,,,80835209,2,2020/02/11 07:48:34+00,3051ed014ae34fa4a9382f82513511b4
31.2447348548518,30.0596701196815,"5419428221",node,15.625,pharmacy,pharmacy,صيدلية رشدى,,,,,,,,,,,,,,,,,,,,,,,القاهرة,109969363,5,2021/08/20 07:16:36+00,7d25357cfb214df98c934137443f2988
31.3137352685094,30.0894105370647,"1858186084",node,9.375,pharmacy,,سحر,,,,,,,,,,,,,,,,,,,,,,,,94802322,4,2020/11/25 23:45:16+00,9bddc778c3024a7eba2282a4213183e7
31.3309777653466,30.085069297954,"5314820424",node,12.5,hospital,,المشرق للعيون,,,,,,,,,,,,,,,,,,,,,الميرغنى,,,94802322,3,2020/11/25 23:45:16+00,27c2438a111c4a458bb56499eae1a2ad
31.3500450863238,30.0990397512494,"8893396233",node,12.5,clinic,clinic,مستشفی الجلاء العسكري,,,,,,,,,,,,,,,,,,,,,,,,109971848,2,2021/08/20 08:06:33+00,31b1b1b759094a48b995d728b73ca2f4
31.216355658544,30.0154742720853,"3966622156",node,12.5,hospital,hospital,معهد بحوث امراض الرمد,,,,,,,,,,,,,,,,,,,,,,,,158216855,3,2024/10/22 15:23:59+00,e638ecc7ec5146fa9a245daa7050e5ea
31.2050889557552,30.0647206354387,"3311965785",node,9.375,dentist,dentist,,,,,,,,,,,,,,,,,,,,,,,,,113932186,5,2021/11/18 08:00:15+00,f6916f3863a5408da7d7fddf9bca0e25
31.6961403224236,26.5592473766389,"4576123693",node,9.375,doctors,,م الهلال,,,,,,,,,,,,,,,,,,,,,,,,44717659,1,2016/12/27 22:45:32+00,51ea9eb94f5847559a2ea062e1aee8a6
33.9425462802197,26.7568908932707,"4487346390",node,6.25,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,43470012,1,2016/11/07 18:16:43+00,a3d5e7fa7a3240989b65c4ec6fc2d867
31.2008467907401,30.0650863378741,"3966621290",node,9.375,hospital,,مستشفي الواحة,,,,,,,,,,,,,,,,,,,,,,,,94802322,2,2020/11/25 23:45:16+00,9cb7f70a802d495094bdafe05982285b
31.7566487785191,30.2917255397921,"2524331007",node,12.5,hospital,hospital,مستشفى خميس التخصصي,,,,,,,,,,,,,,,,,,,,,,,,113947050,3,2021/11/18 14:24:04+00,a40f959d104348e390eeff5be8a54944
32.9092224909608,24.0840495765519,"4826200323",node,9.375,clinic,,محمد خليفة,,,,,,,,,,,,,,,,,,,,,,,,48270048,1,2017/04/30 00:11:57+00,2ad6730cfa0e4d1fb4019f2014532af6
29.9993575486632,31.2399029391293,"6318358185",node,12.5,clinic,clinic,عيادات فور كيدز لطب الأطفال,,,,,,,,,,,,,,,,,,,,,,,,101381650,3,2021/03/20 10:43:13+00,3ca9e9d30c844d59aeb129b94cdbcdb3
31.2490966296252,30.0947544194329,"6586989894",node,21.875,hospital,,مستشفى البتول,,,,,,24/7,,,,,,,,,,,,,,"5",شارع الشيخ نصر الهوريني,"11637",,120248202,4,2022/04/27 08:56:54+00,bdae38f042964d7790db5806ee1f3a80
31.2607365785623,29.9566468904903,"2195669867",node,12.5,doctors,doctor,Well Care Polyclinic,,,,,,,,,,,,,,,,,,,,,,,,158216855,2,2024/10/22 15:23:59+00,b73a0210b2b64d22b0b571262330487b
31.691619375309,26.5571116677103,"4576879794",node,9.375,clinic,,اسكندر عزمى,,,,,,,,,,,,,,,,,,,,,,,,44725372,1,2016/12/28 09:15:08+00,e41e96d4bbf64eab9f3af6d3afafe23e
32.2703427669633,31.2675341343979,"7022378617",node,15.625,hospital,hospital,Alglaa Pharmacy portsaid - صيدلية الجلاء بورسعيد,,,general,,,,,,,,,,,,,,,,,,,,,94802322,4,2020/11/25 23:45:16+00,1cde4117d8084aecb51512afcb9a7609
,,"775160247",way,18.75,hospital,hospital,مستشفى الندى,,,obstetrics,,,,,,,,,no,,,,,,,,,,,,81299483,1,2020/02/21 04:20:54+00,fe7b07e60aab4982bda309546ec1292f
31.3213394987064,29.859917045659,"3966621667",node,9.375,hospital,,مستشفي الهلال الأحمر المصري,,,,,,,,,,,,,,,,,,,,,,,,94802322,2,2020/11/25 23:45:16+00,286b84fed3914b899ba3310612fe40a6
31.3712133313314,31.0456823402965,"3119636730",node,9.375,pharmacy,,صيدلية البسطويسى,,,,,,,,,,,,,,,,,,,,,,,,94809726,2,2020/11/26 04:07:52+00,44e371567e8342b580d7853b17354f4d
33.8347513173709,27.2133304480696,"11909007843",node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,151470635,2,2024/05/17 20:14:18+00,e7f7be4047634a1ca1aff37199ad487e
