X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
38.6911681809731,8.98194832523581,"5140786227",node,9.375,clinic,,አየር ጤና መካከለኛ ክሊኒክ,,,,,,,,,,,,,,,,,,,,,,,,52529319,1,2017/10/01 08:19:11+00,e04ec30211664b3fac0627c03bc2e367
,,"49870461",way,9.375,hospital,,111745- አዲስ ከ/ ክ/ከተማ ጤና ጣቢያ 111745,,,,,,,,,,,,,,,,,,,,,,,,101833755,5,2021/03/27 11:29:58+00,135987f5ab5a43649a749ce4f1596ebb
38.005046122852,12.3480721923188,"11683864273",node,6.25,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,148119343,1,2024/03/02 06:00:31+00,a2cd1c19b0d146dfb5cc45fef759828d
42.8004943638747,9.35890648319182,"5100733623",node,6.25,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,51972239,1,2017/09/12 12:57:06+00,67c67c1abc28473e8ccf6f6d92184f82
,,"1001453946",way,9.375,hospital,,Adigidem Health Centre,,,,,,,,,,,,,,,,,,,,,,,,113652828,1,2021/11/11 13:32:57+00,0491a82d364a4bf88cc226d9e9ea44ff
38.7719039296259,8.95819694530817,"6718704355",node,9.375,pharmacy,,Yome Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,73447002,1,2019/08/17 16:43:31+00,47864055dbe2454d9e46a57ab374f2ca
38.7300160390685,8.99480147083818,"9961317417",node,15.625,hospital,,New leaf fertility cent,,,,,,Mo-Sa 02:00-17:00,,,,,,,,,,,,,,,South Africa Street,,,125447930,2,2022/08/27 15:58:30+00,b85fb6cb7a25454cbeed0ddd7f947c6a
38.2858020767815,14.0802989332958,"8569063819",node,6.25,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,101873968,1,2021/03/28 13:37:24+00,6c46f1acd4964ac1824630366ccb355c
38.7737756924236,8.98358355072591,"6782297342",node,9.375,pharmacy,,Kab Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,74250287,1,2019/09/09 08:58:32+00,56b6fdee960b43b499b4309a8a1e9fdf
42.7934679820824,9.35104643730989,"6451264087",node,12.5,clinic,,Yilak Speciality Clinic,Dr Yilak,,,,,,,,,,,,,,,,,,,,,,,69923680,1,2019/05/06 06:28:36+00,dd1625b4264f4913b0c836bfeb4a1baa
38.6892785647217,8.95092991907578,"6782296523",node,9.375,pharmacy,,Furi Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,74250287,1,2019/09/09 08:58:37+00,68927a88d19f47d3b857d8b7121f181c
,,"737893521",way,9.375,clinic,,Kilinika,,,,,,,,,,,,,,,,,,,,,,,,76107572,1,2019/10/23 14:02:37+00,77c3eb0508cd4d249c2739f2b1a80d7b
,,"204771914",way,12.5,hospital,hospital,ስጦታ,,,,,,,,,,,,,,,,,,,,,,,,85566006,3,2020/05/21 16:55:19+00,6f6c8850b0724a91a7aa27e89cd75e93
