X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
9.44101837270762,0.438146344992191,"5885036111",node,15.625,pharmacy,pharmacy,Les Charbonnages,,,,,,"Mo-Fr 07:30-19:30; Sa 08:00-19:30; PH 09:30-17:00",,,,,,,,,,,,,,,,,,161699381,6,2025/01/24 06:43:36+00,24f09c639db4474e9e399dbd77e96252
9.47548115433872,0.420257938696381,"5887923144",node,25,pharmacy,pharmacy,Pharmacie de Garde,,,,,,24/7,,,,,yes,,,,,,,,,,Avenue Jean Hilaire AUBAME EYEGHE,,Libreville,141080385,8,2023/09/10 20:17:02+00,a8371e3b66f84eb9afd869e881d238e6
,,"597742159",way,9.375,hospital,,Centre Hospitalier Régional d'Oyem,,,,,,,,,,,,,,,,,,,,,,,,109919815,2,2021/08/19 09:10:48+00,3f943eb8d9cd453fae016585edd1faca
9.43828293860693,0.433847266854485,"5884909418",node,25,clinic,clinic,Clinique Canaan terre promise,Prive,,"Medecine generale; accouchemenet prise en charge;bloc operatoire sterlise; analyses medicales",,,24/7,,,,,,,,,,,,,,,"Premier arrondissement, bas de guegue",,,155352708,5,2024/08/17 03:12:31+00,8f9b7ce97d45487db38e04273be0ac5f
9.50172472553695,0.31766235420514,"5884579788",node,21.875,clinic,clinic,ONG/Médécins du Monde,Privé,,,,,24/7,,,,,,,,,,,,,,,Agoungou_Owendo_2ème arrondissement,,,72563854,3,2019/07/23 15:05:03+00,495a431a684b4bdb8734e0d9fcb989a7
9.39454968824685,0.514794742381412,"5887810396",node,15.625,pharmacy,,Pharmacie Carrefour Héliconia,private,,,,,07:30-22:30,,,,,,,,,,,,,,,,,,141334432,3,2023/09/16 10:09:54+00,34246eaf4d3649d6a55877eb7ed5e0c8
9.39311705335643,0.505188662249424,"6297338785",node,15.625,doctors,doctor,ISABELLE,,,,,,,,,,,,,,,,,,,,,Beau Lieu,,,127713272,2,2022/10/18 08:56:43+00,d6ca9ee9a1224832a5f48dc6dd5a405b
9.4263755231396,0.431010495544456,"5885193359",node,37.5,clinic,clinic,Cabinet Medical des Gué-Gué,,survey,"gynaecology;general;endocrinology;nephrology;neurology;rheumatology;cardiology;paediatrics",private,,,,,,,,,,,,,,,,"138",Avenue Paul MOUKAMBI,"12840",Libreville,156409747,7,2024/09/09 18:58:38+00,8a54cb05d5c3431fbdb162c4f13cae9a
9.4450221563965,0.398080177270543,"5884842009",node,31.25,,laboratory,Bio-Clin,private,survey,specialites : Laboratoire,,,24/7,,,,,,,,,,,,,,,Rue François de Paul UBISSANI VANE,"1703",Libreville,153485687,7,2024/07/03 05:58:38+00,cc16b3af327545b0bd341bfd53059895
,,"509899357",way,12.5,hospital,,Hôpital Marcel Abéké,COMILOG,,,,,,,,,,,,,,,,,,,,,,,50530782,1,2017/07/24 14:47:22+00,1582fee731ba489faffcd0cc739c3bf3
9.45045966462322,0.400166852065581,"5884952392",node,21.875,clinic,clinic,Cabinet medico-chirurgical Dr A. Gaussin,private,,"specialites : chirurgie, urologie, maladies uro-genitale, medecine generale, tropicale, MST, sterelite",,,,,,,,,,,,,,,,,,3.068.LA,,,71232633,4,2019/06/13 21:24:38+00,0c7650af34284c8d9eb9ae61a1fd8d5b
,,"413903267",way,15.625,hospital,hospital,Hôpital d'Instruction des Armées Omar Bongo Ondimba,,,,,,,,,,,,,,,,,,,,,,,Libreville,141399198,9,2023/09/17 21:36:19+00,1f31a059bfda4d59aae49ef9a43379e9
9.48741983430489,0.329377488813662,"5884677014",node,21.875,pharmacy,pharmacy,Pharmacie Saint Antoine,Privé,,,,,Lu- Di-8h30-20h30 7/7,,,,,,,,,,,,,,,Carrefour SNI_Owendo_1er arrondissement,,,71232605,2,2019/06/13 21:23:31+00,b6ba7dec93bd42d9a099f72de2f5e5a0
9.45595081703024,0.37382219511511,"5885034308",node,25,clinic,clinic,Clinique Okinda,private,,,private,,24/7,,,,,,,,,,,,,,,Av. Georges Damas Aleka,,,109168946,3,2021/08/05 00:59:25+00,741ae4620a834acb9570fb35ce03e77d
9.45043024414309,0.420140592051951,"5887430567",node,28.125,clinic,clinic,Cabinet médical,Dr BAYE Eric,,"general;endocrinology;diabetology",private,,,,,,,,,,,,,,,,,Rue François Xavier POUNEDIAN,,Libreville,146344491,5,2024/01/17 02:22:28+00,865935a7a5f24b488a17a93b2dff437d
10.243805794168,-0.702596143482026,"4773585278",node,9.375,pharmacy,,Pharmacie Itola,,,,,,,,,,,,,,,,,,,,,,,,47423782,1,2017/04/03 20:11:08+00,d29bbe05c9f44b06adccd21d7720fb92
13.2300519187816,-1.56428512638041,"5686481796",node,6.25,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,59795404,1,2018/06/13 03:06:34+00,a4c91a1728534d56b60c1caec501e6ed
,,"1304030680",way,31.25,clinic,clinic,Cabinet de groupe,,,"general;paediatrics;consultation",private,,"Mo-Fr 07:00-19:00; Sa-Su 07:00-15:00",,,,,,,,,,,,,,"143",Rue Luc Marc IVANGA,,Libreville,163860905,2,2025/03/20 12:29:34+00,8f2ea2399cd64170931004564a14a709
9.44735836044902,0.385314454918245,"5885012281",node,18.75,pharmacy,pharmacy,Pharmacie la librevilloise,private,,,,,,,,,,,,,,,,,,,,Rue 4.134.H,,,71232605,2,2019/06/13 21:23:31+00,5806c372e1134868adccb805d650da2b
9.48713015573122,0.332629583425955,"5884809270",node,28.125,clinic,clinic,Fashion Vision Afrique,Privé,,ophthalmology,private,,Lu- Ve-8h45-18h,,,,,,,,,,,,,,,Carrefour SNI_Owendo_1er arrondissement,,,109168946,4,2021/08/05 00:59:25+00,3a80fd79d5304955ac609c81853eb823
,,"966299990",way,15.625,hospital,hospital,S.O.S Medecin,,,,,,,,,,,,,,,,,,,,,Impasse Dr Charles Ndembet,,,128516779,2,2022/11/05 11:30:34+00,e9e98805301e4354a5ec9cffeab06ddf
9.45004526333031,0.412795781758092,"5885221224",node,18.75,clinic,clinic,Clabinet medical de cocotier a cote de la pharmacie,private,,"Specialite: Consultation, echographie",,,,,,,,,,,,,,,,,,,,,71232633,3,2019/06/13 21:24:38+00,cb3a16e6c8f44c438b34e6c9af4fea2a
9.4436745978233,0.432819896982522,"12103940141",node,34.375,pharmacy,pharmacy,Pharmacie de L'Express,,survey,,,,"Mo-Sa 07:15-19:45; Su 08:00-19:00",,,,,yes,,,,,,,,,,Boulevard des BANTU,"6748",Libreville,161089322,4,2025/01/07 10:11:26+00,feaf455525b74ae9954172bc0ee970c4
8.76935208007566,-0.701754432765341,"4936146624",node,12.5,pharmacy,pharmacy,Pharmacie du Nouveau Port,,,,,,,,,,,,,,,,,,,,,,,,132759247,3,2023/02/19 18:05:11+00,803bbce83be64662989ab639499bdbc5
12.7269579365476,-0.811182944723612,"10994348387",node,15.625,pharmacy,,Dépôt pharmaceutique BISSEMA,,,,,,,,,,,yes,,,,,,,,,,,,Lartoursville,137601018,2,2023/06/21 11:23:52+00,5ddfe778dbcf4164b8a8161ece08a13c
9.44944914237661,0.384536698122787,"5885066705",node,25,clinic,clinic,Cabinet Médical Dr Stephen,private,,,private,,"Mo-Fr 08:30-17:00; Sa 08:30-12:00",,,,,,,,,,,,,,,Rue Antchouet Rabaguino,,,109168946,4,2021/08/05 00:59:25+00,401d1b64cfb74cf29a64094d95bfa0f2
,,"509481515",way,18.75,hospital,hospital,Centre Hospitalier Universitaire d’Owendo,,,,,,,,,,,,,yes,,,,,,,,,,Owendo,71232605,3,2019/06/13 21:23:31+00,d8346a7ca6164ec9b7b46470757de27d
9.50540563831558,0.403596223930009,"10313681697",node,15.625,pharmacy,pharmacy,Le Maïs,,,,,,,,,,,yes,,,,,,,,,,,,,162884197,4,2025/02/24 09:52:28+00,821efd77c08b43e7aedbb32146c91917
12.7297351963451,-0.809919205182155,"10994332423",node,15.625,pharmacy,,Dépôt pharmaceutique MILOMBO,,,,,,,,,,,yes,,,,,,,,,,,,Lartoursville,138050651,3,2023/07/03 07:16:32+00,640f268fcda847d88b120a65a1a17507
9.40540894672233,0.482603456510333,"5884572175",node,18.75,doctors,,Centre de santé d'Okala,,,,public,,Mo-Sa 08:00-18:00,,,,,,,,,,,,,,,rue Léopold Sedar SENGHOR,,,163585684,9,2025/03/13 19:39:02+00,101c38d36b89405583abe1282bd44aaa
