X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
-13.613133056,9.63483865184486,"5528602842",node,15.625,pharmacy,,Pharmacie Le Grand,Dr Oumou DIOP,,,,,"Mo-Sa 07:30-23:00; Su 10:00-21:00",,,,,,,,,,,,,,,,,,64263927,5,2018/11/07 14:39:49+00,7124ff9497c8493f840aab93f1cf0add
-13.5950806158591,9.66183969563286,"5697183302",node,15.625,pharmacy,pharmacy,Pharmacie Billy,,,,,,"Mo-Su,PH 08:00-22:00+",,,,,,,,,,,,,,,,,,135989646,4,2023/05/11 18:41:00+00,874c5ac9c5104af4a3a7498cf0f12c42
,,"372112494",way,34.375,hospital,hospital,Logement de Personelle,government,Red Cross Field Survey,emergency,,,,,,,,yes,,yes,,,,,,,,,,Forécariah,85567516,2,2020/05/21 17:41:59+00,b609033ef2f846ffad6c4d156771a89d
,,"526763627",way,6.25,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,57988459,2,2018/04/11 00:33:36+00,02180c79e3984218b9d1395810235af1
-13.6480292658442,9.58095508437975,"5511951107",node,9.375,pharmacy,,Pharmacie Univers,,,,,,,,,,,,,,,,,,,,,,,,61441490,3,2018/08/07 17:07:24+00,948380a4895946bdabcf56439fee1507
-13.6118777821807,9.64299089087143,"10038161236",node,9.375,clinic,,Clinique Nadac,,,,,,,,,,,,,,,,,,,,,,,,126398105,1,2022/09/19 21:44:44+00,d6d34856a8f64ada9feb6430ef8c4226
-13.6123127191364,9.58326957930305,"6905311987",node,6.25,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,76043291,1,2019/10/22 11:02:48+00,8d0193bb7d39437b9bbad0472e5fb9c7
-13.627554036591,9.57278423752814,"6011952481",node,9.375,clinic,clinic,,,,,,,,,,,,,,,,,,,,,,,,,77043634,3,2019/11/14 00:19:06+00,fc620b15adb342d0bdc278cfbee95572
-13.4935583340692,9.70624986849322,"6847364477",node,12.5,pharmacy,pharmacy,Pharmacie Goumou's,,,,,,,,,,,,,,,,,,,,,,,,135989213,2,2023/05/11 18:26:31+00,4dab9c4f11044c28a3640edb14e76e3f
-13.6571063640669,9.57525966499239,"5861158979",node,12.5,pharmacy,,Pharmacie le Prince,Dr Facinet FADIGA,,,,,,,,,,,,,,,,,,,,,,,64147788,2,2018/11/03 18:39:18+00,571fb46f85234696bad46c3bbccb4bbb
-13.643612673424,9.56042947988846,"5494060031",node,12.5,pharmacy,pharmacy,Pharmacie Naïny,,,,,,,,,,,,,,,,,,,,,,,,77043634,3,2019/11/14 00:19:06+00,1f3893b650eb401c8b168d03e4325615
-10.7597916453911,10.0466127210127,"4532376665",node,34.375,clinic,clinic,Clinique Agmip,ngo,Red Cross Field Survey,women,,,,,,,,no,,no,,,,,,,,,,Faranah,53840965,2,2017/11/16 13:14:38+00,5950d02cdf304321a28718e9444f17f5
-9.58534066275237,8.45733246549938,"4532566663",node,31.25,clinic,clinic,Poste de santé de Diomandou,,Red Cross Field Survey,community,,,08:00-18:00,,,,,,,no,,,,,,,,,,Diomandou,53840965,2,2017/11/16 13:14:47+00,f8e1c2d566d441bc84fe53d7b28382ee
-14.9187368510612,10.9125373310418,"8606589641",node,12.5,hospital,yes,Centre de santé kasmak,,,,,,,,,,,,,,,,,,,,,,,,103420050,2,2021/04/22 14:35:44+00,cec1e39c46e44bcbbcc5ee756795d519
-13.7018180339845,10.0755080749179,"7425784872",node,9.375,hospital,,CS_Tanene,,,,,,,,,,,,,,,,,,,,,,,,83822901,1,2020/04/20 12:39:42+00,c8a2aad57322456693263042bb60fd77
