X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
-15.850300061023,11.3563999239478,"6815633187",node,40.625,clinic,clinic,Soga Centro de Saude,moh,,,government,operational,Mo-Fr 08:00-15:00,,"0","2",,,,,no,powered_pump,solar,,,,,,,,134179726,4,2023/03/27 14:10:12+00,9c5bf557f0bc4526bda595c8bd8f89c4
-16.142700071022,11.1595999620514,"6815647887",node,34.375,clinic,clinic,Orango grande Centro de Saude,moh,,,government,operational,Mo-Fr 08:00-15:00,,,"2",,,,,,powered_pump,solar,,,,,,,,134179726,4,2023/03/27 14:10:12+00,2e0046da22a645158d871c81219b5395
-15.5793044142439,11.8588953544761,"4496409590",node,12.5,pharmacy,pharmacy,Farmácia Moderna,,,,,,,,,,,,,,,,,,,,,,,,107848272,2,2021/07/12 15:12:43+00,2e172d91a3994c1eafbf91c27f956140
-15.5830512087816,11.8635605541444,"4487355693",node,12.5,pharmacy,pharmacy,Farmácia Simão Mendes,,,,,,,,,,,,,,,,,,,,,,,,157840116,3,2024/10/13 15:21:53+00,389392f98c8e4a6087f039f1573e257a
-15.7173000447792,11.2726999990568,"6815647885",node,37.5,clinic,clinic,Canhabaque Centro de Saude,moh,,,government,operational,Mo-Fr 08:00-15:00,,,"2",,,,,no,powered_pump,solar,,,,,,,,134179726,4,2023/03/27 14:10:12+00,0ae85d60bee34356956d2f1892e040c6
,,"767912425",way,18.75,clinic,clinic,Health Centre,Ministerio di Saude,,,government,,,,,,,,,,,,,,,,,,,,80269367,1,2020/01/29 16:46:15+00,85f09003e8604f839b984a69295ea90b
-16.0576000330249,11.767799992596,"6815664985",node,31.25,clinic,clinic,Pecixe Centro de Saude,moh,,,government,operational,Mo-Fr 08:00-16:00,,,,,,,,,powered_pump,solar,,,,,,,,134179726,4,2023/03/27 14:10:12+00,431b4addf82b4cfba0ff7b4920358431
-15.6005174186145,11.8583121416533,"5709585676",node,15.625,pharmacy,pharmacy,Farmácia Central,,,,,,,,,,,yes,,,,,,,,,,,,,60055809,1,2018/06/21 20:31:26+00,7c752632651f4cf08ebc6b886c493f0f
-15.581211548673,11.8616565210195,"1945674156",node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,107848272,2,2021/07/12 15:12:43+00,f615c2200e25412a9d4c4d5da6f8bcdd
,,"545035359",way,9.375,clinic,clinic,,,,,,,,,,,,,,,,,,,,,,,,,126186198,2,2022/09/14 14:51:47+00,dd9297ee25a842f78744fedae643a056
-15.5834048412764,11.8605608386367,"4487223992",node,12.5,pharmacy,pharmacy,Rama II,,,,,,,,,,,,,,,,,,,,,,,,107848272,2,2021/07/12 15:12:43+00,1e7c7a70eedd4a66b2fd9bcaa6811ba2
-15.8502062675265,11.3564895264927,"7151933691",node,9.375,clinic,,Centro di Saude,,,,,,,,,,,,,,,,,,,,,,,,79931258,1,2020/01/22 17:32:47+00,74ebb5717a134fa2a1849f3cc613c21f
