X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
43.2506636683665,-11.7050797188854,"4994963121",node,12.5,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,Place de l'Europe,,,131251667,4,2023/01/14 04:18:51+00,0d9bce616a6147319298eadc3412239d
,,"404358862",way,18.75,hospital,,hôpital,,"#opendri-comoros;survey",,,,,,,,,,,no,,,,,,,,,,Ntsudjini,43528494,2,2016/11/10 09:00:49+00,83bdddc3a75f4976a78e5fcaa2e41cc5
43.2586920228642,-11.6912446333262,"4195378700",node,18.75,clinic,clinic,Clinique Ascobef,,Kaart Ground Survey 2017,,,,,,,,,,,,,,,,,,,Rue de la COI,,,104903397,4,2021/05/18 16:29:28+00,900431c3768c4146a7ed1576571f8867
43.2571129561253,-11.6903293294997,"4993468642",node,15.625,pharmacy,pharmacy,Pharmacie Al-Camar صيدلية القمر,,Kaart Ground Survey 2017,,,,,,,,,,,,,,,,,,,,,,85285038,4,2020/05/16 00:22:58+00,ecae233eff3f4e74a948665d93cb7ce0
,,"406157830",way,9.375,hospital,,,,#opendri-comoros,,,,,,,,,,,,,,,,,,,,,,41360229,3,2016/08/10 06:34:51+00,0d00bd7e941e4c63a43068582e743288
43.2544540488006,-11.6989365382305,"4993593028",node,15.625,clinic,clinic,Cabinet Medical,,Kaart Ground Survey 2017,,,,,,,,,,,,,,,,,,,,,,104903397,3,2021/05/18 16:29:28+00,9fa6182a6d8e4f328442b363dc6153dc
43.2560008452123,-11.6929955290801,"4993501758",node,15.625,pharmacy,pharmacy,SOS Pharma,,Kaart Ground Survey 2017,,,,,,,,,,,,,,,,,,,,,,104903397,3,2021/05/18 16:29:28+00,976f5a47329e4480849a74ad3871eb4a
,,"432355756",way,15.625,pharmacy,pharmacy,Dépôt Pharmaceutique Moroni,,#opendri-comoros,,,,,,,,,,,,,,,,,,,,,,131251295,7,2023/01/14 03:38:38+00,070deba6605140f098acf2a21c863d28
43.2643910464699,-11.6773251420021,"4195377991",node,12.5,pharmacy,pharmacy,Pharmacie Itsandra,,,,,,,,,,,,,,,,,,,,,,,,131251202,4,2023/01/14 03:27:08+00,afc0497d1ea241eca0a834d91fc29c5d
,,"438412961",way,12.5,hospital,hospital,,,"#opendri-comoros;survey",,,,,,,,,,,,,,,,,,,,,,104903397,4,2021/05/18 16:29:28+00,e19201eb1e584a7e9fd7d8cd47ae3cdd
43.7466797201037,-12.2874113522179,"6025065409",node,6.25,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,64015991,1,2018/10/30 15:42:05+00,8385828825354341a01569292237a597
,,"438773629",way,12.5,pharmacy,pharmacy,,,"#opendri-comoros;survey",,,,,,,,,,,,,,,,,,,,,,104903397,4,2021/05/18 16:29:28+00,f5e9ecc818c74c30ba44ccbf0e7fac85
43.262743164306,-11.6913619799706,"4195354390",node,12.5,pharmacy,pharmacy,Pharmacie Generique,,,,,,,,,,,,,,,,,,,,,,,,104903397,2,2021/05/18 16:29:28+00,c9805aa482ab4f3a984e24e68251bcd0
