X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
-9.53851893252997,7.65274813163666,"7706984142",node,18.75,clinic,clinic,Zolowo Clinic,Government,Ministry of Health & Natinal Public Health Institude,,,,,,,,,,,,,,,,,,,,,,158650637,5,2024/11/02 09:46:49+00,bce41dd53df44a1faea4c78ab589fd2d
-10.7063399135775,6.3930926724872,"7687348484",node,21.875,clinic,clinic,International Poly Clinic,,Ministry of Health and National Public Health Institute,,,functional,,,,,,,,,,,,,,,,,,Monrovia,124181952,4,2022/07/28 11:32:46+00,788b3a6df82f4fb0ad0c512a2f5bb07b
,,"552900109",way,18.75,hospital,clinic,Zekepa Clinic,Ministry of Health,,,,,,,,,,,,no,,,,,,,,,,,55415153,1,2018/01/13 19:54:32+00,8e3db7f217b24d0bb05fbcc1b847388e
,,"272031147",way,15.625,clinic,clinic,Fassavolu Clinic,,MOH & NPHIL,,,,,,,,,,,,,,,,,,,,,,131922085,4,2023/01/31 13:24:45+00,1dc2417e51dd43dbbb0ce45ed869275d
-10.0185758406247,6.59704558291384,"7716930006",node,12.5,clinic,,Worhn Clinic,,Ministry of Health and National Public Health Institute of Liberia,,,,,,,,,,,,,,,,,,,,,,88083108,3,2020/07/16 10:56:47+00,1a74d6b0c06e4ccdb98cbcbe7ba7d2f0
-10.5794213033622,6.83100746690133,"7675651686",node,18.75,clinic,,Mecca Clinic,Government of Liberia,Ministry of Health and National Public Health Institute of Liberia,,,functional,,,,,,,,,,,,,,,,,,,88786214,3,2020/07/31 14:00:57+00,0db10bce073e4be5a1a8e462a0afc2ed
-9.37685255597563,6.65334095919812,"7688102972",node,25,clinic,clinic,Botota clinic,Government,MoH & NPHIL,,,functional,,,,,,,,,,,,,,,,,"1000",,158650637,3,2024/11/02 09:46:49+00,2a910ce27adb413c90a6feedfc9e60b4
-9.46286353920968,6.98569725016819,"5034532054",node,28.125,pharmacy,pharmacy,Leemu and Son,private_profit,,,,,Mo-Sa 08:00-18:00,,,,,yes,,no,,,,,,,,,,Gbarnga,142207002,3,2023/10/05 21:02:33+00,80ca8efc32bb424fb4e5365d8ce539a9
-9.4794363219834,7.00630969117637,"5037080890",node,31.25,pharmacy,pharmacy,Fredal Medicine Store,private_profit,,,,,Mo-Sa 08:00-18:00,,,,,no,,no,,,,,,,,Gbarnga Monrovia road,,Gbarnga,125657972,4,2022/09/01 13:59:49+00,6ac30e89c8174b608ceeffb3efbc5f6c
-11.3880988558207,6.92164735616294,"4131217666",node,43.75,clinic,,Kulangor clinic,Government,Red Cross Field Survey,general practice,,functional,24/7,,,,,yes,,yes,,pub_tap,solar,,,,,,"1000",Kulangor,158650637,6,2024/11/02 09:46:49+00,c118c9ab8e8e438d9422748d9b867f6c
-10.7019263386425,6.62679404692406,"7675651693",node,21.875,clinic,,Suehn Clinic,Government of Liberia,Ministry of Health and National Public Health Institute of Liberia,,,functional,,,,,,,,,,,,,,,,,"1000",,158650637,3,2024/11/02 09:46:49+00,3340f17b19804f66910475c45606742f
-8.99026208253068,7.21386715524375,"4912797729",node,25,,clinic,Antenatal Care Clinic,private_np,,paediatrics,,,"Mo-Fr 08:00-18:00; Sa-Su 08:00-15:00",,,,,,,,,,,,,,,LPMC Bypass,,Ganta,49499494,1,2017/06/13 13:07:06+00,3c2571ddce424784a980ed68366bacb6
-7.65840155668332,5.21631529262265,"7721241489",node,9.375,clinic,,,,Ministry of Health and National Public Health Institute of Liberia,,,,,,,,,,,,,,,,,,,,,,88096760,2,2020/07/16 15:56:49+00,f1874b79c0b7468597edc8b7e7e091b2
,,"825083156",way,15.625,clinic,clinic,Butaw Clinic,,Ministry of Health and national :Public Institute,,,,,,,,,,,,,,,,,,,,,,133174071,4,2023/03/01 14:17:19+00,bfd1580f4778470ca6578f2c0a4b84b8
-10.7883060417971,6.37016045595672,"7209625252",node,21.875,pharmacy,pharmacy,Lucky Pharmacy Inc,,,,private_individual,,Mo-Sa 09:00-18:00,,,,,,,,,,,,,,,,,Monrovia,124181952,2,2022/07/28 11:32:46+00,84f1064010c64f408717736c1afd2036
-10.166661103286,7.09792623979578,"7711203941",node,18.75,clinic,,Degei clinic,Government,Ministry of Health and National Public Health Institute of Liberia,,,functional,,,,,,,,,,,,,,,,,,,88365834,2,2020/07/22 19:28:51+00,df6547eef94a4d24826f467920d16cab
-10.7984028823599,6.31600187824847,"3708466720",node,21.875,clinic,clinic,Slipway Clinic,,Ministry of Health and National Public Institite of Liberia,,,functional,,,,,,,,,,,,,,,,,,Monrovia,124181952,6,2022/07/28 11:32:46+00,558201b30bf04affb77148a7978f9fc8
,,"305467216",way,21.875,clinic,clinic,Snapper Hill Clinic,,Ministry of Health and National Public Institite of Liberia,,,functional,,,,,,,,,,,,,,,,,,Monrovia,144502158,6,2023/11/27 10:30:03+00,3508bc25181449398fbcb2d526583c64
-11.3555187334613,6.7585763402748,"7724038263",node,25,clinic,clinic,Fanti Town Clinic,Government,Ministry of Health and National Public Health Institute of Liberia,,,functional,,,,,,,,,,,,,,,,,,Robertsports,137971232,5,2023/06/30 19:16:36+00,bfcdf39d150c4f7d890f09b8d307a0c1
-9.45328545463428,6.99403883638743,"5056789576",node,21.875,pharmacy,pharmacy,Nathaniel Konah Drug Store,Nathaniel Konah,,,,,24/7,,,,,,,,,,,,,,,,,Gbarnga,131915901,3,2023/01/31 10:49:15+00,05499a759d6d426f856907a78c9ba6a9
-10.7761903360359,6.28659556352579,"11092333305",node,6.25,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,139495891,1,2023/08/05 21:04:30+00,3ef7e60b70e94c9494fd5e8fc6b32c94
-9.71423815648788,7.79912608444056,"7706918441",node,12.5,clinic,,Balagwalazu Clinic,,Ministry of Health and National Public Health Institute,,,,,,,,,,,,,,,,,,,,,,88885332,3,2020/08/03 16:02:26+00,7e3151cfea30407ab17fc40335d8076f
-10.6981443401115,6.2952269959568,"7695361026",node,18.75,clinic,clinic,New Sight Eye Center,,Ministry of Health and national :Public Institute,,,functional,,,,,,,,,,,,,,,,,,,124180125,3,2022/07/28 10:51:29+00,0a4bc361ec4c4047840409c21987915f
,,"485824913",way,25,pharmacy,pharmacy,Gbaila Medical Center,,,,,,Mo-Sa 08:00-18:00,,,,,yes,,,,,,,,,,Palala - Ganta,,Ganta,124183331,4,2022/07/28 12:01:25+00,a16a9412c73344e99756f9291b2a8448
-8.98604925417663,7.23364375286747,"4100642431",node,21.875,pharmacy,pharmacy,Joan Medicine Store,,,,,,,,,,,yes,,,,,,,,,,Ganta Main Street,,Ganta,124183331,4,2022/07/28 12:01:25+00,cf04d95815194222bdd3836039424b17
-9.21871311663867,7.37820442524429,"4131217615",node,34.375,clinic,,Jorwah Clinic,government,Red Cross Field Survey,,,,Mo-Fr 08:00-17:00,,,,,yes,,yes,,protected_well,generator,,,,,,,Jorwah,88355253,4,2020/07/22 14:42:55+00,21c23ea662b04002bdce0c0b6dcd79d3
