X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
-6.74035751835007,33.9919550848566,"8394319296",node,28.125,pharmacy,pharmacy,Pharmacie Cité Royale صيدلية الحي الملكي,Ph. CR,,,,,,,,,,yes,,,,,,,,,,Avenue Atlas شارع الأطلس,"11100",Salé El Jadida,99127784,4,2021/02/11 18:12:49+00,ecca498881c64d4684d13ae7e1ecd27c
-3.94153904678041,35.246560447344,"8662351816",node,25,pharmacy,pharmacy,Pharmacie la Méditerranée صيدلية المتوسط,,,,,,,,,,,yes,,,,,,,,,,Rue Houmman El Fatwaki,"32000",Al Hoceima الحسيمة,167934898,2,2025/06/22 00:57:58+00,81714ec155cb43a8adc195bcce422139
-1.91989977373345,34.6619510318241,"4398934290",node,28.125,pharmacy,pharmacy,Pharmacie Errahma صيدلية الرحمة,AKRAMA Mounia,,,,,,,,,,yes,,,,,,,,,,Route Aouinet Serrak,"60000",Oujda,104838736,4,2021/05/17 16:44:40+00,94e84a8d86c9461980a95136e526d7b3
-6.64864306910161,34.2660453302873,"10866400838",node,12.5,doctors,doctor,Dispensaire Kasbah,,,,,,,,,,,,,,,,,,,,,,,,135679948,1,2023/05/04 00:17:12+00,c6a1b3a2af9d4f8b99585f9642671712
-8.05042241373729,31.6807802334011,"5669961680",node,15.625,pharmacy,,Pharmacie Hay Al Karam,,Kaart Ground Survey 2018,,,,,,,,,,,,,,,,,,,P2008,,,59606385,1,2018/06/06 15:07:32+00,c393d8b502a142e59d7155bb49194a07
-6.58392446686116,34.257566532313,"4487715340",node,12.5,doctors,doctor,Dermatologue Kénitra Dr El Cadi Jihane,,,,,,,,,,,,,,,,,,,,,,,,126194332,3,2022/09/14 18:41:39+00,598c788a6cb247a0bd41e2f75e870f3b
-6.89308635536949,33.9405326956203,"5906480210",node,21.875,pharmacy,pharmacy,Pharmacie l'Olivier صيدلية الزيتونة,,,,,,,,,,,yes,,,,,,,,,,,"12000",Témara تمارة,167934898,3,2025/06/22 00:57:58+00,550b458032644d30be6804679be436ea
-6.55345725465381,34.2421728318588,"8401735940",node,21.875,pharmacy,pharmacy,Pharmacie Ibn Khaldoun صيدلية ابن خلدون,,,,,,,,,,,yes,,,,,,,,,,,"14000",Kénitra,167934898,2,2025/06/22 00:57:58+00,81b045299aad43518f4ac6f5f5bb8e61
-2.92488962896169,35.177601188831,"4558010193",node,18.75,doctors,,Al manzeh,,,,,,,,,,,,,,,,,,,,"125",Avenue Youssef Ben Tachfine,,NADOR,44494010,2,2016/12/18 15:29:40+00,67babdbf58dd4228a93d4f8c1f2eba14
-15.9503908813889,23.6904448750743,"8405336217",node,25,pharmacy,pharmacy,Pharmacie Al Bouchra صيدلية بشرى,Ph PB,,,,,,,,,,yes,,,,,,,,,,,"73000",Dakhla ⴷⴰⵅⵍⴰ الداخلة,99112749,2,2021/02/11 14:07:29+00,5f47c2dedf964d85adc0578677d9549e
-1.96658353782962,32.5241504830947,"4704222593",node,25,pharmacy,pharmacy,Pharmacie Belmiloudi صيدلية بلميلودي,Ph PB,,,,,,,,,,yes,,,,,,,,,,,"61200",Bouarfa بوعرفة,99894485,2,2021/02/24 10:12:39+00,49fb55bc9044420ead871edafce27646
-7.39168394946503,33.6790159755021,"5637751765",node,25,pharmacy,pharmacy,Pharmacie Imane صيدلية إيمان,,,,,,,,,,,yes,,,,,,,,,,Boulevard De La Resistance,"28800",Mohammédia المحمدية,167934898,4,2025/06/22 00:57:58+00,fa827a9411514c5099044d85d07ef98e
-7.76790802034111,33.5375124346698,"5686054111",node,12.5,pharmacy,,Les Jardins de L'Ocean Bay,,Kaart Ground Survey 2018,,,,,,,,,,,,,,,,,,,,,,59790446,1,2018/06/12 20:20:32+00,9459119e87844af9b790fbe47f78e13b
