X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
-5.46176474154166,12.3861093527392,"4370217456",node,9.375,pharmacy,,Pharmacie Officine Koule Pharm Sarl,,,,,,,,,,,,,,,,,,,,,,,,41743123,1,2016/08/27 19:46:45+00,1d7c09af43574e4788144a7e3baa7995
-8.01339711666796,12.6444904866992,"3189067689",node,15.625,clinic,clinic,Centre de Santé de Référence de Commune 3,,OMS Survey,,,,,,,,,,,,,,,,,,,,,,140333800,6,2023/08/24 16:58:20+00,98c6f718dc8f4ea98a2f2e1b6d4c1a6a
-4.89312142664377,13.3077815816802,"9421579340",node,9.375,hospital,,CSRF de San,,,,,,,,,,,,,,,,,,,,,,,,116200394,1,2022/01/15 23:48:34+00,a96b34152a554cf69c08a0306678849b
-6.20700453038361,13.4342709546339,"10068671976",node,15.625,clinic,,Clinique mère-enfant,,YouthMappers At University Of Segou and West Virginia University,,private,,,,,,,,,,,,,,,,,,,,126894224,1,2022/10/02 13:40:01+00,9565e6b388fd47799f23f104a9a6ef61
-4.8023987241788,12.1820548536462,"6136477642",node,9.375,pharmacy,,Pharmacie l'angine Traoré,,,,,,,,,,,,,,,,,,,,,,,,65463266,1,2018/12/14 06:41:10+00,d28728d3f96b41cba4eb17520b90aa96
-0.350262340669161,16.955090472316,"5487378355",node,12.5,hospital,hospital,Nouveau CSRéf (Prévision),,,,,,,,,,,,,,,,,,,,,,,,114884718,2,2021/12/13 13:46:50+00,da8a72fc62284eefa0a7e80ab65666df
-6.25613472055906,13.4288881802349,"9232638019",node,21.875,pharmacy,pharmacy,Yaya Dembélé,,YouthMappers At University Of Segou and West virginia University,,private,,08:00-23:00,,,,,,,,,,,,,,,,,,126888049,2,2022/10/02 10:51:04+00,f2e7500ea07449878968ebe4a5400259
-8.0260398765007,12.6214047975216,"7501388296",node,6.25,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,84942879,1,2020/05/09 15:47:21+00,60f95bd5d682445098f0c547ed21c387
-7.99630356625008,12.6505870639725,"5293883839",node,25,pharmacy,pharmacy,,,,,,,24/7,,,,,no,,no,public,,grid,,,,,,,,120401885,3,2022/04/30 22:50:31+00,5196025df3b04af29b9c3943b85048c6
-7.17778004359079,12.8519399918537,"2163839459",node,15.625,clinic,clinic,Centre de Santé Communautaire de Koni,,OMS Survey,,,,,,,,,,,,,,,,,,,,,,140333800,4,2023/08/24 16:58:12+00,e6bb4427422a4f41b6fc6ba523f1cf02
