X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
-15.982510921083,18.1039379258829,"5752697021",node,9.375,pharmacy,,Pharmacie Centrale,,,,,,,,,,,,,,,,,,,,,,,,104366555,2,2021/05/08 13:58:48+00,9f9e859b756c4a888f839896cc6e8094
,,"228842023",way,15.625,hospital,hospital,Centre de santé مركز الصحة,,,,,,,,,,,,,,,,,,,,,,,Nouakchott نواكشوط,163195312,10,2025/03/04 10:30:54+00,0c9393fe1da249578a8e8935129fb389
-15.973340616097,18.1064247527354,"8699687811",node,9.375,clinic,,Clinique Medico Chirurgicale,,,,,,,,,,,,,,,,,,,,,,,,104149723,1,2021/05/04 23:54:32+00,f3f9917e4bc04239a7c85ad847daaa1b
-15.9355013524105,18.1370670629001,"8703875304",node,6.25,dentist,,,,,,,,,,,,,,,,,,,,,,,,,,104222802,1,2021/05/06 05:46:59+00,b773c16a52674ae398cebcfa8287ba25
-15.9461631332472,18.0712766667009,"8708819595",node,9.375,pharmacy,,D. Pharmacie Inssaf,,,,,,,,,,,,,,,,,,,,,,,,104300393,1,2021/05/07 08:11:36+00,3243892b00c540c4b31c6a40c70f25f1
-15.9724434171813,18.1095783599855,"8699687797",node,9.375,pharmacy,,Biomed 24,,,,,,,,,,,,,,,,,,,,,,,,104149723,1,2021/05/04 23:54:32+00,dc7a55c740904dfb8b98a197793897d3
-15.9328499049796,18.1345779729337,"8706634740",node,9.375,dentist,,Cabinet,,,,,,,,,,,,,,,,,,,,,,,,104260508,1,2021/05/06 14:46:43+00,c020d05b18ae4f6b9f98a6e990c2c092
-15.9017994799494,18.0680981651984,"8657017947",node,12.5,pharmacy,pharmacy,Chourava,,,,,,,,,,,,,,,,,,,,,,,,170938685,2,2025/08/24 17:56:18+00,0e902745c04d42d39335ee349b5cb993
-15.9464675639704,18.0054348894352,"8670632796",node,6.25,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,103676739,1,2021/04/27 06:01:21+00,da411f92bdd14d77aa5cea39961f5211
-15.9660222087981,18.0518440623834,"8707163489",node,9.375,pharmacy,,Pharmacie de Garde,,,,,,,,,,,,,,,,,,,,,,,,104268792,1,2021/05/06 18:09:47+00,8f26b014629d4b6cac3de837fde1a53e
-15.9457782362535,18.1329172664579,"8706615390",node,9.375,doctors,,Cabinet Medical al Farabi,,,,,,,,,,,,,,,,,,,,,,,,104260508,1,2021/05/06 14:46:43+00,534d3cb6bd2b409d9e62277c8d7fb008
-15.9550063763714,18.0708546378761,"8709555990",node,6.25,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,104319127,1,2021/05/07 12:40:49+00,45a15ad8f07e4f9d93ab5e693db7db1a
-15.9687594030985,18.106531873458,"8703667516",node,9.375,pharmacy,,Pharmacie Meque,,,,,,,,,,,,,,,,,,,,,,,,104219765,1,2021/05/06 04:52:28+00,47bbed78fe7c491c9e216045b62b829e
-15.970820848365,18.1208567974386,"8703491140",node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,144204620,2,2023/11/19 11:41:35+00,a9b7d5b483b74b6a8f5a9044af9eaa84
-15.9817573041687,18.088838262592,"8710614703",node,9.375,pharmacy,,Pharmacie Errava,,,,,,,,,,,,,,,,,,,,,,,,104338955,1,2021/05/07 19:56:02+00,f343f988f2024ece87cce09d7f329344
-15.9432945107051,18.1213151199042,"8716755914",node,9.375,dentist,,Cabinet Dentaire,,,,,,,,,,,,,,,,,,,,,,,,104422015,1,2021/05/10 05:24:00+00,b0b8fa971f57408eaf89aac1378c76ee
-15.9279750739129,18.1017402746899,"8707638620",node,9.375,pharmacy,,Depot Pharmaceutique Maaloum,,,,,,,,,,,,,,,,,,,,,,,,104275655,1,2021/05/06 21:35:29+00,bd45d8ffc9bb416197457dd301ade7d7
-15.9277175818474,18.0436463934416,"8707314898",node,9.375,pharmacy,,Depos Pharmacitique Abass,,,,,,,,,,,,,,,,,,,,,,,,104271153,1,2021/05/06 19:17:35+00,c98ef258da2f4cb485a8d3bdf7c2bef7
-15.8958839517847,18.0670860503902,"5286822622",node,15.625,pharmacy,pharmacy,Pharmacie Al-Manara صيدلية المنارة,,,,,,,,,,,,,,,,,,,,,,,Nouakchott نواكشوط,162779267,4,2025/02/21 12:50:20+00,099131b428824749a997f174a4a285f3
-15.9934196327872,18.1052265596768,"8701721824",node,9.375,pharmacy,,Votre Pharmacie,,,,,,,,,,,,,,,,,,,,,,,,104189013,1,2021/05/05 13:47:43+00,0ee4d60a87dd46db997385504c9a8878
-15.9340556417511,18.0796414707919,"8708819553",node,9.375,pharmacy,,D. Pharmacie el Nasser,,,,,,,,,,,,,,,,,,,,,,,,104300393,1,2021/05/07 08:11:36+00,75a0a72cd55d41b59986f023d90bdba4
-15.9445994053911,18.0783690978902,"8708819522",node,9.375,pharmacy,,D. Pharmacie Erawdha 2,,,,,,,,,,,,,,,,,,,,,,,,104300393,1,2021/05/07 08:11:36+00,b68fa17e903b4a909cd675017ee10f20
