X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
,,"859636206",way,12.5,clinic,clinic,Catholic Health Service,,,,,,,,,,,,,,,,,,,,,,,,172557134,2,2025/09/28 09:08:36+00,775143bb01c84326adbce178e701bcff
14.5273695320035,-22.6781577339373,"1021955718",node,12.5,doctors,doctor,Dr. Moisel,,,,,,,,,,,,,,,,,,,,,,,,108697954,5,2021/07/27 15:36:52+00,1390a66ef03543c5a3089940f29c8e8b
17.090998841323,-22.550663370793,"598226770",node,9.375,pharmacy,,,,,,,,,,,,,,yes,,,,,,,,,,,,146037759,4,2024/01/08 17:36:28+00,6b2a89cca9874812a0392cefbd719307
,,"97021029",way,15.625,hospital,hospital,Rosh Care Clinic,,bing aerial,,,,,,,,,,,,,,,,,,,,,,122241163,4,2022/06/11 09:23:51+00,5f7e052360c64eb89a330e9f37ae5e27
17.0462236365794,-22.5199915563292,"8491062114",node,21.875,pharmacy,pharmacy,Wellcare Pharmacy,,,,,,,,,,,yes,,,,,,,,,,Abraham Mashego Street,,Windhoek,100529444,1,2021/03/06 10:30:20+00,419e32911c5c4cc0801ad08b4a8ecab2
,,"1311592419",way,12.5,clinic,clinic,Omutundungu Clinic,,,,,,,,,,,,,,,,,,,,,,,,155846365,1,2024/08/27 18:28:37+00,e2547c71e5c24cc2970d0f6501db9886
,,"1078340087",way,12.5,clinic,clinic,Otjinene Health Centre,,,,,,,,,,,,,,,,,,,,,,,,123584163,1,2022/07/13 23:30:23+00,2a02242362374bff8b82223d80548454
15.7013989887316,-17.7916613211495,"3924243202",node,12.5,doctors,doctor,Dr. Gauda,,,,,,,,,,,,,,,,,,,,,,,,110808598,2,2021/09/06 15:03:38+00,42629e3d676e4f07a7aecfe75fa73162
,,"1060892388",way,12.5,clinic,clinic,Ibbu Clinic,,,,,,,,,,,,,,,,,,,,,,,,121072890,1,2022/05/16 23:26:29+00,e98c0d533d034e50a5ab2cb537f4792e
,,"1311029170",way,12.5,clinic,clinic,Omagalanga Clinic,,,,,,,,,,,,,,,,,,,,,,,,155733970,1,2024/08/25 12:06:49+00,344d8f9973f045f7bf6ee0c8396b098f
,,"1105220139",way,15.625,hospital,hospital,Military Hospital,,,,,,,,,,,,,,,,,,,,,,,Grootfontein,127779927,1,2022/10/19 12:28:59+00,3d6086c73fb9432ab089c8442ab50f6a
,,"1309856849",way,12.5,clinic,clinic,Onawa Clinic,,,,,,,,,,,,,,,,,,,,,,,,155608388,1,2024/08/22 14:12:43+00,77035f4114954b9c9ea7bf793bf192b4
17.0781475397393,-22.5818066673104,"11811087015",node,9.375,,laboratory,Dentex Dental Laboratory,,,,,,,,,,,,,,,,,,,,,,,,149892804,1,2024/04/12 06:30:29+00,4d025eeb5ecf439388f5558732a746ea
17.0928789860238,-22.5745143277304,"2624612133",node,25,doctors,doctor,Dr. Hagen Fortsch,,,urology,,,,,,,,,,,,,,,,,"19",Heinitzburg St,,Windhoek,147647156,8,2024/02/19 12:03:25+00,7a8a07df8a894b53bcb45b1c3ba694fd
17.0789855624186,-22.5620313269721,"11306564678",node,12.5,dentist,dentist,Dr Laurell Izaak,,,,,,,,,,,,,,,,,,,,,,,,172986520,3,2025/10/08 05:55:50+00,9bbea0d3108240648ace1ffe9becae00
,,"1093394482",way,12.5,clinic,clinic,Otjondeka Clinic,,,,,,,,,,,,,,,,,,,,,,,,126022658,1,2022/09/10 16:45:11+00,d1667c8057cc4c91995d3116500ed7cf
,,"1080265172",way,12.5,clinic,clinic,Leonardville Clinic,,,,,,,,,,,,,,,,,,,,,,,,123891148,1,2022/07/21 12:03:40+00,0d63c09a6e04432685602e5262eb60ed
17.0908384955153,-22.5409024769094,"11622045420",node,9.375,,laboratory,PathCare,,,,,,,,,,,,,,,,,,,,,,,,150048218,3,2024/04/15 16:36:14+00,afcecb1079d14729917312196a54ab9b
,,"413928934",way,12.5,hospital,hospital,Karibib Health Centre,,,,,,,,,,,,,,,,,,,,,,,,105421508,3,2021/05/27 11:18:53+00,e6a3961783964747ae3a32b4e7d58a2e
14.5107949890301,-22.957905512553,"10207089638",node,18.75,doctors,doctor,baymed - health & aesthetics,,,"general;plastic_surgery",,,"Mo-Fr 08:00-13:00, 14:00-17:00",,,,,,,,,,,,,,,,,,132442979,2,2023/02/12 12:23:01+00,a86a087cc6984c03bc496b061b3adeec
,,"1245121983",way,12.5,clinic,clinic,Old Bagani Clinic,,,,,,,,,,,,,,,,,,,,,,,,146926017,1,2024/02/01 00:33:34+00,4b4cb17a2d9f4af38903e93059da4b87
14.5378795165737,-22.6405766328686,"4176807145",node,12.5,pharmacy,pharmacy,Ocean View Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,132446913,3,2023/02/12 14:04:49+00,988a467f77d642b392a9036ad7d48e89
17.1069921831303,-22.5735241735085,"12144229396",node,18.75,doctors,doctor,Dr Van Tonder,,,otolaryngology,,,,,,,,,limited,,,,,,,,,,,,155928522,1,2024/08/29 13:15:58+00,6e17faa454694aa1bc0e83ff798025c2
17.0906585360541,-22.5415648148982,"11247664825",node,28.125,hospital,hospital,Mediclinic Windhoek,Mediclinic,,,private,,,,,,,,,,,,,,,,,Heliodoor Street,"9000",Windhoek,162496007,3,2025/02/14 09:44:14+00,6b5f88c04f7f478aa79d6aef3b9dbc10
,,"1069233705",way,12.5,clinic,clinic,Epinga Clinic,,,,,,,,,,,,,,,,,,,,,,,,122321568,1,2022/06/13 11:38:07+00,f03c4bf6fbbb4ca7b4c75ac448571311
17.0838790851293,-22.5675995090693,"11907046283",node,18.75,dentist,dentist,Jauch Dentists,Dr. S. G. Jauch,,,,,,,,,,,yes,,,,,,,,,,,,170292533,2,2025/08/11 13:00:19+00,5bccf82fce7441b7a65c79469257e7c0
16.6513882202588,-20.462027042766,"1369884654",node,9.375,pharmacy,,Maihs Apteek,,,,,,,,,,,,,,,,,,,,,,,,60468923,3,2018/07/06 14:05:31+00,595cb0e0e6844018bb23907b21425bec
