X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
2.1209267304061,13.4919197568236,"8645199345",node,12.5,clinic,clinic,Clinique Gamkalé,,,,,,,,,,,,,,,,,,,,,,,,145325823,2,2023/12/20 10:50:13+00,a08ca81c91a14314a67d67707a9cb781
1.99299969341999,13.5965583463944,"12585485076",node,9.375,pharmacy,,Dépôt Bangoula,,,,,,,,,,,,,,,,,,,,,,,,162474250,1,2025/02/13 17:01:44+00,3f82b413597a4cfcace7a2f347689260
2.13968618407969,13.4713500635216,"4402185704",node,12.5,clinic,,Centre de Santé Intégré - CSI de Saga,,survey,,,,,,,,,,,,,,,,,,,,,,57641654,2,2018/03/29 18:04:36+00,6b9aa66821194bf0ab584b9190aefc3e
,,"226236422",way,12.5,hospital,,Centre mère et enfant,,survey,,,,,,,,,,,,,,,,,,,,,,39596886,2,2016/05/27 07:05:52+00,c6f5afa147684ece98ac8e5a448f6ecb
,,"613783779",way,15.625,,laboratory,Laboratório do Hospital de Magaria,Municipio de Magaria + Médicos Sem Fronteiras,,,,,,,,,,,,,,,,,,,,,,Magaria,96468683,2,2020/12/26 23:04:04+00,bb4bd3a9794b4c3883167a6a8567244f
2.14574554570288,13.5095741403829,"4399622830",node,15.625,pharmacy,pharmacy,Pharmacie de l'Air,,survey,,,,,,,,,,,,,,,,,,,,,,119312423,3,2022/04/04 17:54:29+00,b332162e218c476ea13e8a77767e0a53
8.14949868954889,13.3245848667912,"11078212034",node,9.375,hospital,,CSI Romaza,,,,,,,,,,,,,,,,,,,,,,,,139239681,1,2023/07/31 07:40:39+00,1a343a15dc654e8d8e24c54255dd2b43
2.12828905887758,13.5469339592078,"2403592489",node,15.625,pharmacy,pharmacy,Pharmacie Cité Caisse,,survey,,,,,,,,,,,,,,,,,,,,,,135061151,5,2023/04/18 13:50:54+00,12e242dc6561403b82b5a69a724e2b8e
3.64605625761902,12.708417669642,"2428001463",node,12.5,clinic,,Case de Santé de Massama,,survey,,,,,,,,,,,,,,,,,,,,,,17552517,2,2013/08/28 11:06:11+00,9ab0c62253d34f43a64a7c4eafb97311
,,"789897744",way,12.5,hospital,hospital,CSI Issari,,,,,,,,,,,,,,,,,,,,,,,,86987819,3,2020/06/22 15:35:07+00,27a993a85c374ec6b9f28b31148f4ec8
2.0683490634554,13.5334434536881,"11012826300",node,12.5,pharmacy,pharmacy,Pharmacie Gobi,,,,,,,,,,,,,,,,,,,,,,,,142354168,2,2023/10/09 15:03:53+00,a4b1f56ebae64636b3190e2b8a2e55bd
2.1118985824979,13.5192539812628,"12279822471",node,9.375,clinic,,Lakouroussou,,,,,,,,,,,,,,,,,,,,,,,,158230592,1,2024/10/22 21:56:47+00,bd604618938c49a9b4ec30c4ad28c9eb
2.10315759859245,13.4664302216349,"11647446968",node,12.5,clinic,,Saguia,,MSFsurvey,,,,,,,,,,,,,,,,,,,,,,148039627,2,2024/02/29 07:34:28+00,8d23ea7741824cdc90b6fd25bba2873b
12.4243113851951,13.1872397557612,"4155289962",node,6.25,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,45304795,2,2017/01/19 18:14:24+00,0c1a79744f784d0b98a96522565d9bb7
11.9895436601465,13.7658944996286,"5133042621",node,9.375,clinic,,case de santé nguel kori,,,,,,,,,,,,,,,,,,,,,,,,52413369,1,2017/09/27 13:09:23+00,d5f763bfe989427d8b5b5d141856a634
2.09760827577736,13.4836402805069,"3195347161",node,12.5,pharmacy,,Phamacie Haro Banda,,survey,,,,,,,,,,,,,,,,,,,,,,36992422,2,2016/02/04 08:26:38+00,261cd7a0c8d841e49c72eaf87cff3f88
2.09090987785626,13.4910510563788,"10154387917",node,9.375,clinic,,SantéPlus,,,,,,,,,,,,,,,,,,,,,,,,128431862,1,2022/11/03 10:48:28+00,28b73ada3c264989ad89e6fa3ea92966
9.25653662335304,13.3929515247498,"11647427815",node,12.5,clinic,,Katourage,,MSFsurvey,,,,,,,,,,,,,,,,,,,,,,148038997,2,2024/02/29 07:13:13+00,da6fa9d334af4b329a9af6a797450305
2.03166105416977,13.5426452746301,"6564557986",node,9.375,pharmacy,,Pharmacie Maoga,,,,,,,,,,,,,,,,,,,,,,,,71508814,1,2019/06/22 12:39:45+00,7ac6640278754f3f8954188f5cbf1818
,,"543005297",way,9.375,hospital,hospital,,,,,,,,,,,,,,,,,,,,,,,,,66013252,3,2019/01/04 08:24:47+00,4a1df4e7ba9344c9b6ac85449fd1136e
5.25225865363035,13.7894284529879,"3709911759",node,15.625,clinic,clinic,CLINIQUE SALMOU,,bing,,,,,,,,,,,,,,,,,,,,,,145475147,2,2023/12/24 16:56:44+00,9a15e1fcd5614566bc54eef43a6c242b
,,"532898940",way,9.375,hospital,,CSI de Waraou,,,,,,,,,,,,,,,,,,,,,,,,52975941,1,2017/10/16 09:06:58+00,6a1d66dac61a44c78d35d5445b663e83
7.11496396673852,13.4908973322745,"4316158349",node,12.5,pharmacy,,Global Phama SARL,,survey,,,,,,,,,,,,,,,,,,,,,,42476098,2,2016/09/27 17:49:13+00,f46f8c01e9a04b7b9dcaa0363b43f527
1.46265471904545,14.2026503282909,"4397522664",node,15.625,clinic,clinic,Centre de Santé Intégré Type 2,,survey,,,,,,,,,,,,,,,,,,,,,,116318756,2,2022/01/18 22:52:57+00,a34d0cab36ba47a8bdc829a8c21625a7
,,"789361655",way,15.625,hospital,hospital,Hopital Ophtamologique MAKKAA,,survey,,,,,,,,,,,,,,,,,,,,,,86987491,3,2020/06/22 15:25:10+00,475014e39add4246b61cf47944369e02
7.1055403606386,13.5035709375109,"4318562792",node,12.5,pharmacy,,Pharmacie 17portes,,survey,,,,,,,,,,,,,,,,,,,,,,40995681,1,2016/07/24 17:46:43+00,f1a22dec2fc849678603443a63570cff
7.9661346669825,16.9642292613461,"3642851252",node,15.625,clinic,clinic,Clinique IMAN,,survey,,,,,,,,,,,,,,,,,,,,,,79450223,5,2020/01/11 12:28:28+00,f59817230e304c3bb8830340c281b7cc
2.10184306471774,13.5642171920945,"6069766585",node,12.5,clinic,clinic,Mamar Kassai,,,,,,,,,,,,,,,,,,,,,,,,135061151,2,2023/04/18 13:50:54+00,759abadc130a42cdbc08074bd25ebba2
2.09546887881137,13.483608932189,"6207616985",node,9.375,doctors,,CSI ET MATERNITE TASSI KONNOU,,,,,,,,,,,,,,,,,,,,,,,,66300655,1,2019/01/14 12:38:52+00,e88c43eac9324af7bba3fc0db8b31f50
2.13460775658493,13.5486518302633,"6399687892",node,15.625,pharmacy,pharmacy,Pharmacie la Renaissance,,,,,,,,,,,,,,,,,,,,,Rue LZ - 02,,,135061151,2,2023/04/18 13:50:54+00,45d7ca5a0b6240919e689023b1ffa9a6
2.11438113457984,13.5349745759409,"2730678919",node,18.75,pharmacy,pharmacy,Pharmacie Askia,,,,private,,,,,,,,,,,,,,,,,Avenue Kaocen,,,142413600,6,2023/10/10 22:47:58+00,044dc955caca4048af06095fcc0ca455
2.09516821994453,13.4910684907373,"6855837347",node,12.5,pharmacy,,Pharmacie Liptako,,"survey, oamand",,,,,,,,,,,,,,,,,,,,,,75348963,1,2019/10/06 19:22:52+00,27b947835f624d3e9581b242e4032dae
11.9748637625665,13.3854498890475,"4462355156",node,9.375,hospital,,CSI Nayi Lawan,,,,,,,,,,,,,,,,,,,,,,,,86987819,3,2020/06/22 15:35:07+00,cbb43deae16b4b36b31bdab0904683c9
