X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
-13.2185454087372,8.48165582649955,"3342039261",node,12.5,clinic,,GINER HALL COMMUNITY HOSPITAL,,MSF-CH,,,,,,,,,,,,,,,,,,,,,,29064206,2,2015/02/24 11:00:04+00,5d330c0e2bf0415a9dfdc9c1c3aac513
,,"1285134137",way,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,170083709,4,2025/08/07 01:45:27+00,384a8eb4599549e09657945c715fe432
-12.0620300225091,8.89039547908052,"8687897518",node,12.5,clinic,,Stocco,,,,,,,,,,,,,,,,,,,,,Stucco Road,,,103955422,1,2021/05/01 12:46:00+00,9c5f2f0eaa5848208afe943d0555660f
-12.1730366791969,8.56748886192923,"10047419963",node,12.5,clinic,,CHC MABANG,,MSFsurvey,,,,,,,,,,,,,,,,,,,,,,127326453,3,2022/10/10 22:51:55+00,eb49c3dde4134aceae6474f9dbe46bcf
-11.7408233391404,7.96409669104489,"3589640103",node,15.625,clinic,clinic,Ramsy Medical Laboratories,,,,,,,,,,,,,,,,,,,,,Fenton Road,,,142405175,5,2023/10/10 17:51:17+00,8689b983ae4c4584a7200b0885c2200d
-13.2504245525341,8.48479568742835,"5677572523",node,21.875,pharmacy,pharmacy,Abie's,Abie,,,,,24/7,,,,,,,,,,,,,,,Ascension Town Road,,,148545808,3,2024/03/12 11:39:22+00,18709a855e6243e989d56d8dd1d0ecaa
-12.0625512092485,8.89099864083289,"8687912417",node,12.5,clinic,,Stocco,,,,,,,,,,,,,,,,,,,,,Stucco Road,,,103955422,1,2021/05/01 12:45:59+00,5b875fdef2354cbaad4a27b6760cf98d
-10.8131154693623,7.77791693574545,"4504609544",node,34.375,clinic,,Jojoima Community Health Center,Ministry of Health and Sanitation,Red Cross Field Survey,clinic,,,,,,,,yes,,yes,,piped,none,,,,,,,Bumpeh,43703720,1,2016/11/16 16:13:57+00,a0c80b07036c4c27a7ebcf4a58817f4c
,,"309799179",way,9.375,hospital,,Lakka Isolation Hospital,,,,,,,,,,,,,,,,,,,,,,,,26348506,1,2014/10/26 19:36:38+00,d5edb77a66dc4b6ab9861d3d9eb1d397
-11.4389000622128,8.4727199633453,"6819889276",node,9.375,clinic,,Mondema Community Health Center,,,,,,,,,,,,,,,,,,,,,,,,74855827,1,2019/09/24 12:41:16+00,5e6f3dbc9f974859b423ee2900390702
