X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
-14.8356659041843,16.5432598253018,"9659561589",node,53.125,doctors,doctor,case de sante feu moustapha ba mbanetou,Ministère de la santé et de l'action sociale,#senegal #covid-19 #emergency-health-data-validation #healthsites,,public,operational,24/7,"1","1","0",,,no,no,public,well,solar,,,,,,,,125591076,2,2022/08/31 00:56:48+00,bd4ae76036704c9fb7730247ac549e05
-17.3474926211395,14.7741692227105,"5137766006",node,12.5,doctors,doctor,Militaire de Yeumbeul,,,,,,,,,,,,,,,,,,,,,,,,129721127,2,2022/12/04 23:27:13+00,a7200de1200342e6b2ebd808318fa58a
,,"409817667",way,12.5,,hospital,Centre de santé de Ranérou,,,,,,,,,,,,,yes,,,,,,,,,,,135580224,5,2023/05/01 15:54:55+00,ceba2a214d524697964146e0a376af11
-14.6986614336993,16.6394524739588,"9989554758",node,56.25,doctors,"doctor, birthing center",case de sante de moudouwaye,Ministère de la santé et de l'action sociale,#senegal #covid-19 #emergency-health-data-validation #healthsites,,public,operational,24/7,"1","0","0",,,no,no,None,water works,no,,,,,,,,125591076,1,2022/08/31 00:56:48+00,f5ffb602ad9542dea066677415012a89
-17.461654645277,14.7139250480222,"823731767",node,12.5,pharmacy,pharmacy,Kuky,,,,,,,,,,,,,,,,,,,,,,,,112386243,2,2021/10/11 18:09:37+00,a5fe2c292f434663a4ff591d36a983f6
-17.4469006516729,14.7074268937679,"5604847216",node,12.5,pharmacy,pharmacy,Pharmacie Ouagou Niayes,,,,,,,,,,,,,,,,,,,,,,,,71224527,2,2019/06/13 16:20:37+00,00e9f8e5dfee46e3a0d16b451f432f65
-16.4096449116353,16.1535962946963,"9989554788",node,53.125,doctors,doctor,case de sante taba darou salam,Ministère de la santé et de l'action sociale,#senegal #covid-19 #emergency-health-data-validation #healthsites,,public,operational,24/7,"2","1","0",,,no,no,public,manual pump,grid,,,,,,,,125591076,1,2022/08/31 00:56:48+00,bb9be41ad6a4425b9477f24003157c93
-13.6642500086846,15.9968088563412,"10860572141",node,40.625,clinic,,Poste de Sante Agnam Thiodaye,,#senegal #Public Health #Sunu Wer Gye Yaram #WNAH #Healthsites,,public,operational,24/7,"13",,,,,no,,no,water_works,grid,,,,,,,Agnam thiodaye,135580224,1,2023/05/01 15:54:55+00,328c08a0e42a4cf09b0533efe8891df3
-13.1119685040576,15.4230130179245,"10860572173",node,40.625,doctors,,Case de sante Fora Diawara,,#senegal #Public Health #Sunu Wer Gye Yaram #WNAH #Healthsites,,public,operational,24/7,"1",,,,,yes,,no,water_works,solar,,,,,,,Fora Diawara,135580224,1,2023/05/01 15:54:55+00,ae74c5fb4cef47238111d70aee52aad6
-16.1407451597449,16.278389757181,"9656268966",node,46.875,pharmacy,pharmacy,pharmacie ross béthio,Dr Bounama Diéye,#senegal #covid-19 #emergency-health-data-validation #healthsites,,private,operational,"Mo-Sa 8:00 22:00; PH off",,,,,,limited,no,public private,water works,grid,,,,,,,,125591076,3,2022/08/31 00:56:48+00,db94434e19c64db5809e998e9942c0a4
-12.9614576024369,15.394275327618,"10860572253",node,40.625,clinic,,Poste de Sante de Guanguel Soule,,#senegal #Public Health #Sunu Wer Gye Yaram #WNAH #Healthsites,,public,operational,24/7,"11",,,,,yes,,yes,pump,generator,,,,,,,Guanguel,135580224,1,2023/05/01 15:54:55+00,5b7e764dd78c4d4384337b909522e58f
,,"374492438",way,6.25,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,132491186,2,2023/02/13 13:42:39+00,7ab61b81875c414caa8de97bdf774bf2
-17.4344385218536,14.7534642454913,"4334062045",node,12.5,pharmacy,pharmacy,,,,,,,,,,,,CHEIKH MASSAMBA MBACKE,,,,,,,,,,,,,70940288,2,2019/06/04 23:07:30+00,45c87a4152714f7eaeecd778335b60b3
-13.3910063354745,15.7421636204447,"10860572057",node,40.625,clinic,,Poste de Sante de Nabadji Civol,,#senegal #Public Health #Sunu Wer Gye Yaram #WNAH #Healthsites,,public,operational,Mo-Su 08:00-18:00,"28",,,,,yes,,no,water_works,grid,,,,,,,Nabadji,135580224,1,2023/05/01 15:54:55+00,82a56f9b755745f09819cd9ec092e84f
-16.2715453455008,12.583166555244,"2125319404",node,15.625,pharmacy,pharmacy,Pharmacie du Rond-Point,,bing,,,,,,,,,,,,,,,,,,,,,,100111499,3,2021/02/27 18:34:57+00,69a4d94d9a7f4c6bb62c09fa56a66695
-16.2641599667955,12.5804883695421,"2280799913",node,18.75,pharmacy,pharmacy,Pharmatie du Boulevard,,survey,,,,,,,,,yes,,,,,,,,,,,,,100112136,3,2021/02/27 18:49:02+00,3209b2d8820443608f40c37ad9b05d23
-17.4608001102485,14.6911130279832,"4076568892",node,12.5,pharmacy,pharmacy,Pharmacie Ndoss,,,,,,,,,,,,,,,,,,,,,,,,134924129,4,2023/04/15 00:08:35+00,d870645ad4f64183a5cb80fa8415a295
-15.4992982264434,15.9688199214452,"9656492933",node,56.25,doctors,"doctor, pharmacy,birthing center",poste de sante de bouteyni,Ministère de la santé et de l'action sociale,#senegal #covid-19 #emergency-health-data-validation #healthsites,,public,operational,24/7,"8","0","1",,,limited,yes,None,water works,solar,,,,,,,,125591076,2,2022/08/31 00:56:48+00,3f007d4145a946b1abebe9db03842c80
-16.9365979812527,14.7954019245535,"4138900114",node,9.375,doctors,,Inpatient/Hospitalization,,,,,,,,,,,,,,,,,,,,,,,,38760845,1,2016/04/21 15:54:12+00,9c43fdd195444c06b1bc9c88d8b43080
,,"535842820",way,12.5,doctors,doctor,Centre de Santé,,,,,,,,,,,,,,,,,,,,,,,,153914720,3,2024/07/14 02:24:57+00,f5b5a3c7231545669c615c85b6b2be49
-17.2790591594126,14.7695598465174,"5202505738",node,9.375,pharmacy,,Pharmacie Marie Esseteine Manga,,,,,,,,,,,,,,,,,,,,,,,,53401073,2,2017/10/31 16:54:14+00,e326a4e60ec04fb0b6a1fd971f1470fb
-16.9364646251732,14.7956244640828,"4138893290",node,9.375,doctors,,Maternity,,,,,,,,,,,,,,,,,,,,,,,,38760738,1,2016/04/21 15:49:23+00,5e3c85e60530460b982ef9f4f128f88c
-16.7228895413604,13.8571520513351,"11508365457",node,9.375,hospital,,Centre de santé de Niodior,,,,,,,,,,,,,,,,,,,,,,,,146139977,1,2024/01/11 11:56:08+00,d13c179947a54adaa561272cdbd02699
-16.6309813025106,15.1112635520875,"5141742241",node,12.5,pharmacy,pharmacy,pharmacie LEYTI NDIAYE,,,,,,,,,,,,,,,,,,,,,,,,71224874,2,2019/06/13 16:29:26+00,adcdf3de13954b35b615ac3d4b268cb3
-15.0604807010575,16.502913282919,"9659561605",node,50,pharmacy,pharmacy,pharmacie ndiayene pendao,Docteur sarr,#senegal #covid-19 #emergency-health-data-validation #healthsites,,private,operational,24/7,"0",,,,,yes,no,private,powered pump,grid,,,,,,,,139452690,2,2023/08/04 18:10:31+00,ea5d6ee199514cddbc2174b3e62f2714
-16.5062040170991,16.0239917874281,"6630806986",node,53.125,pharmacy,pharmacy,pharmacie boulevard sud,Dr Amadou Mamadou Alpha Dia,#senegal #covid-19 #emergency-health-data-validation #healthsites,,private,operational,"Mo 07:30-22:00; Tu 07:30-22:00; We 07:30-22:00; Th 07:30-22:00; Fr 07:30-22:00; Sa 07:30-13:00; Su off; PH 07:30-22:00",,"3",,,yes,no,no,"public;private",water_works,grid,,,,,,,,119545649,5,2022/04/10 17:54:40+00,a8b152d8715a4bc3bf3499c3c169eee9
-15.5596943650363,16.4843595211492,"9659613049",node,53.125,doctors,"doctor, pharmacy, birthing center",poste de sante mbilor,Ministère de la santé et de l'action sociale,#senegal #covid-19 #emergency-health-data-validation #healthsites,,public,operational,24/7,"6","0","1",,,yes,no,public,water works,grid,,,,,,,,125591076,2,2022/08/31 00:56:48+00,f330d627145340dba89f293a31fd1e70
,,"351499706",way,12.5,pharmacy,pharmacy,Pharmacie Fass,,,,,,,,,,,,,,,,,,,,,,,,132163468,3,2023/02/06 15:41:58+00,60525d21052f4744b2e8675738c355ee
-17.2662272200253,14.7199044462891,"2168952538",node,15.625,doctors,,Keyr Souley,,"survey;bing",,,,24/7,,,,,,,,,,,,,,,,,,17254165,2,2013/08/07 13:40:29+00,879fe5ccbaa144639897788a3e3a123c
-13.4487633480342,16.0774174515228,"10860572055",node,43.75,doctors,doctor,Case Guireye,,#senegal #Public Health #Sunu Wer Gye Yaram #WNAH #Healthsites,,public,operational,24/7,"4",,,,,no,,no,water_works,grid,,,,,,,Guireye,146302534,2,2024/01/16 00:19:05+00,e7bf6c0b9d184c4ebbd4ae5bf84eac1b
-16.4181890046353,14.3407807398291,"8132683969",node,40.625,doctors,,DPC de Fatick,SR Marie Yvonne Mbengue,#senegal #covid-19 #emergency-health-data #healthsites,,Religious,operational,,"4",,,Doctor,,yes,yes,,Water works,grid,,,,,,,,169731938,7,2025/07/30 17:13:55+00,8ca9d25b92404e1da99f4a8c9d308c10
-14.4453714677269,15.0487971672298,"10860572188",node,40.625,clinic,,Poste de Sante de Nawre,,#senegal #Public Health #Sunu Wer Gye Yaram #WNAH #Healthsites,,public,operational,24/7,"3",,,,,yes,,yes,water_works,solar,,,,,,,Nawre,135580224,1,2023/05/01 15:54:55+00,be2146524c904fd58a9b06894131274e
-15.9050569389798,13.7636015461964,"6970486439",node,12.5,pharmacy,pharmacy,PHARMACIE M L NIASSE,,,,,,,,,,,,,,,,,,,,,,,,114721573,2,2021/12/09 00:32:08+00,1ecf9fefed2b455c9994f61828e80715
-16.3652437074114,15.9225631314967,"6630804890",node,56.25,doctors,doctor,case de sante ndiakhip,Ministère de la santé et de l'action sociale,#senegal #covid-19 #emergency-health-data-validation #healthsites,,public,operational,"Mo-Fr 09:00-18:00; PH off","1","0","0",,no,yes,no,public,water works,no,,,,,,,,125591076,5,2022/08/31 00:56:48+00,9c6275a7a7634a77b6fa8a96ae4939f6
,,"368155287",way,9.375,hospital,,Hôpital de Keur Moussa Frontière,,,,,,,,,,,,,,,,,,,,,,,,68404087,2,2019/03/22 09:57:16+00,73ab38ac7a9445e88d4b25539bcd43c6
-17.437878538735,14.6678722735969,"4931399823",node,18.75,doctors,doctor,NDEYE MAGATTE NDIAYE BA,,,,,,,,,,,,,,,,,,,,"76",Rue Carnot,,,84838920,2,2020/05/07 14:46:34+00,484c4c5a43624de69994326eed2e0f7b
,,"328020271",way,9.375,hospital,,,,survey,,,,,,,,,,,,,,,,,,,,,,116155822,5,2022/01/14 17:05:40+00,9a3754a15f804678b2ff348d12224930
-14.5419775118484,16.4978076980579,"9989554738",node,53.125,doctors,"doctor, pharmacy, birthing center",case de sante de doubangué,Ministère de la santé et de l'action sociale,#senegal #covid-19 #emergency-health-data-validation #healthsites,,public,operational,"Mo-Fr 8:00 18:00; PH off","2","0","0",,,,no,public,water works,Other Power,,,,,,,,125591076,1,2022/08/31 00:56:48+00,540766fbf1544259ac6f6e405fc38cec
-13.1089168207502,15.5175093370173,"10860572134",node,43.75,clinic,clinic,Poste de sante de Thially,,#senegal #Public Health #Sunu Wer Gye Yaram #WNAH #Healthsites,,public,operational,24/7,"15",,,,,yes,,no,water_works,grid,,,,,,,Thially,146302534,2,2024/01/16 00:19:05+00,8b94fcaa27d940b4a0cbcb2f7089c717
-15.7473410372102,14.1275735377467,"8132683984",node,40.625,doctors,"Ultrasound,Laboratory,Imaging Equipment,Intensive Care Unit,Emergency Department",Centre de Santé Birkelane,Ministère de la Santé et de l'Action Sociale,#senegal #covid-19 #emergency-health-data #healthsites,,public,operational,,"17",,,,,limited,yes,,water works,grid,,,,,,,,169731938,8,2025/07/30 17:13:55+00,9ad0690437454ce58c3ba8d3dffecfa7
-17.4558324076946,14.6935019542067,"2627310640",node,12.5,doctors,doctor,Cabinet Médical Urologie,,,,,,,,,,,,,,,,,,,,,,,,71224527,4,2019/06/13 16:20:37+00,b99e7310fd8d4939abb642d664a0c5d0
-15.0089360198539,16.4910699890109,"9659561603",node,50,doctors,doctor,Croix rouge Thiawlé,Croix rouge Sénégal,#senegal #covid-19 #emergency-health-data-validation #healthsites,,Community,operational,24/7,"1","1",,,,yes,no,public,manual pump,grid,,,,,,,,139453958,2,2023/08/04 18:50:02+00,06093e4bf63046a29a09e7b6132eb1b3
,,"423117105",way,15.625,clinic,,Dispensaire Régional,,,,,,,,,,,,,,,,,,,,,N3,,Diourbel,70143826,2,2019/05/11 18:01:56+00,1d72ef4cbdef44929698a116490f8f28
,,"1237646587",way,15.625,doctors,doctor,Radio Pkumel FM,,,radiology,,,,,,,,,,,,,,,,,,,,,146224008,2,2024/01/13 18:57:41+00,d1b9737750bf458e84e1077389a06c38
-16.2236743686391,15.6215984928349,"1775045865",node,18.75,pharmacy,pharmacy,Pharmacie Ndiambour,,Microsoft Bing satellite imagery 2012,,,,,,,,,no,,,,,,,,,,,,,129788616,4,2022/12/06 15:55:00+00,a915123d93b640a5b080a3c49a0e627f
,,"806025698",way,12.5,hospital,hospital,Centre de Santé de Dodji,,,,,,,,,,,,,,,,,,,,,,,,113507754,4,2021/11/08 07:09:12+00,6900f4ef4df24669b73935be9ffa3130
,,"352615762",way,6.25,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,31847591,1,2015/06/09 15:38:46+00,bd42363221cc420b8965f8bb20093791
-17.3610277183842,14.7473893773473,"5169531984",node,12.5,dentist,dentist,Cabinet dentaire Dr fall,,,,,,,,,,,,,,,,,,,,,,,,71224611,2,2019/06/13 16:23:01+00,ee3cb303caa9444aa28988817938894f
-13.3433964548967,15.8998843837182,"10860572114",node,43.75,clinic,clinic,Poste Sante Sadel,,#senegal #Public Health #Sunu Wer Gye Yaram #WNAH #Healthsites,,public,operational,24/7,"3",,,,,yes,,yes,water_works,grid,,,,,,,Sadel,146302534,2,2024/01/16 00:19:05+00,7617f137bf6847ccb533c77c316084b3
-14.3127759621303,16.3803616442571,"9989554729",node,50,hospital,"doctor, pharmacy, dentist, birthing center, laboratory",centre de sante aéré lao,Ministère de la santé et de l'action sociale,#senegal #covid-19 #emergency-health-data-validation #healthsites,,public,operational,24/7,,"1","1",,,yes,no,None,water works,grid,,,,,,,,125591076,1,2022/08/31 00:56:48+00,8cb4c82d82b943e690ee209a5d913683
,,"806030328",way,9.375,hospital,hospital,,,,,,,,,,,,,,,,,,,,,,,,,85442277,1,2020/05/19 12:33:23+00,5a59cf52536c4d8d9520d441aece0ef2
-14.4061429035894,15.9417374893774,"9658850210",node,53.125,doctors,doctor,case de sante safalbe,Ministère de la santé et de l'action sociale,#senegal #covid-19 #emergency-health-data-validation #healthsites,,public,operational,24/7,"1","0","0",,,no,no,public,water works,no,,,,,,,,125591076,2,2022/08/31 00:56:48+00,f559b6cc154c4a889f9f0aeab96cd542
,,"661000238",way,12.5,hospital,hospital,Clinique Milogo,,,,,,,,,,,,,,,,,,,,,,,,66079035,1,2019/01/06 19:54:39+00,5f3ca938b75d4a40af9ff657434574b6
-13.9690001662766,16.2186420426176,"9658850186",node,50,doctors,doctor,case de sante de wallah,Ministère de la santé et de l'action sociale,#senegal #covid-19 #emergency-health-data-validation #healthsites,,public,operational,24/7,"2","0","1",,,limited,,None,water works,grid,,,,,,,,125591076,2,2022/08/31 00:56:48+00,b097ac6b1ec94a78975fb35ed7305f6e
-15.2237618512582,16.5227748730409,"8639800648",node,12.5,hospital,hospital,Poste de Santé,,,,,,,,,,,,,,,,,,,,,,,,103133908,1,2021/04/18 11:50:10+00,9618e437b61b40ca9278b4821c811571
,,"191634699",way,15.625,hospital,hospital,Hôpital Général de Grand Yoff,,,,,,,,,,,,,yes,,,,,,,,,,,101521960,4,2021/03/22 18:00:48+00,06f79d7d5bbb493faa12da52e7a9661a
-15.9923079409693,16.1075102441154,"9656268951",node,56.25,doctors,"doctor;pharmacy",infirmerie d'entreprise west africa farms,WAF,#senegal #covid-19 #emergency-health-data-validation #healthsites,,private,operational,24/7,"2","1","2",,,yes,no,private,water works,grid,,,,,,,,139453471,4,2023/08/04 18:35:16+00,63727ebc134b45d2986bb9436320335d
-17.3617902201158,14.7402968623389,"6072007585",node,9.375,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,136701837,3,2023/05/29 13:50:42+00,e16904b8152a47ce9de53ddfa4d44053
-16.280071752685,16.4717537255095,"9656268979",node,56.25,doctors,doctor,poste de sante debi tiguette,Ministère de la santé et de l'action sociale,#senegal #covid-19 #emergency-health-data-validation #healthsites,,public,operational,unknown,"4","4","2",,,yes,no,public,well,grid,,,,,,,,125591076,3,2022/08/31 00:56:48+00,7ae15fb58a9b4ed092245058d66c5fbe
-15.1461794583984,16.5172284838919,"9659613025",node,53.125,doctors,"doctor, pharmacy, birthing center",Poste de santé Diagnoum,Ministère de la santé et de l'action sociale,#senegal #covid-19 #emergency-health-data-validation #healthsites,,public,operational,"Mo-Fr 8:00 17:30; PH off","11",,"2",,,no,yes,public,water works,grid,,,,,,,,125591076,2,2022/08/31 00:56:48+00,6686e676cbf04726a592b0320b286cb3
-16.4425541075132,16.0410345435128,"2679150693",node,46.875,pharmacy,pharmacy,pharmacie amadou,Dr ABIBAOU WADE,#senegal #covid-19 #emergency-health-data-validation #healthsites,,private,operational,"Mo-Sa 8:00-22:00; PH off",,"1",,,,limited,,Unknown,well,grid,,,,,,"32000",,137971201,5,2023/06/30 19:15:24+00,e47963301ebf4421a06386733b9cade6
-16.2158673802043,16.2397352695918,"9989554789",node,43.75,doctors,doctor,case de sante,Ministère de la Santé et de l'Action Sociale,#senegal #covid-19 #emergency-health-data-validation #healthsites,,,operational,24/7,"1",,,,,limited,yes,None,water works,grid,,,,,,,,163434457,2,2025/03/10 10:02:58+00,d705b337f4cf4b658e504e85b13613a9
,,"213114764",way,28.125,hospital,hospital,Hôpital des Enfants de Diamniadio,,,"paediatrics;general;ophthalmology;dermatology;dentistry",,,,,,,,,yes,yes,,,,,,,,N2,,Diamniadio,120820408,9,2022/05/11 05:37:26+00,05f55693bac3478b933b1bd7c24bd7b8
-13.5151669642696,15.9155170522319,"10860572206",node,40.625,clinic,,poste de sante Dabia,,#senegal #Public Health #Sunu Wer Gye Yaram #WNAH #Healthsites,,public,operational,24/7,"8",,,,,no,,no,water_works,grid,,,,,,,Dabia,135580224,1,2023/05/01 15:54:55+00,ddf7761d6b4647698a18a7b7ddbe4277
-17.3864002422046,14.7516618848519,"4328538989",node,12.5,pharmacy,pharmacy,Pharmacie Serigne Fallou,,,,,,,,,,,,,,,,,,,,,,,,85718050,3,2020/05/25 12:52:15+00,47c61b52d08a4accb6cdb7bedf065e05
-14.6166057029348,16.5878852454356,"9989554757",node,34.375,doctors,birthing_centre,Case de sante ngane,Ministère de la santé et de l'action sociale,#senegal #covid-19 #emergency-health-data-validation #healthsites,,public,operational,24/7,,,,,,,no,public,,,,,,,,,,151036890,2,2024/05/08 05:25:25+00,7ee1335a52f1491797c3cf29842c32d3
-12.8969818239314,15.221947170227,"10860572100",node,40.625,doctors,,Case de Sante de Houlde,,#senegal #Public Health #Sunu Wer Gye Yaram #WNAH #Healthsites,,public,operational,24/7,"1",,,,,no,,no,well,solar,,,,,,,Houlde,135580224,1,2023/05/01 15:54:55+00,ba7980482702439b956ea1abf54a2a62
,,"975046117",way,28.125,hospital,hospital,Maternité Muriel Africa,Centre de Santé de Grand Mbour,,maternity,public,,,,,,,,,,,,,,,,Grand Mbour,,,Mbour,109999490,1,2021/08/20 17:44:33+00,ed573e49ac704f3284876f6175ac1015
-16.4261477055175,16.0665596179709,"9656492946",node,40.625,doctors,"pharmacy, doctor, dentist",centre medical crous,CROUS UGB,#senegal #covid-19 #emergency-health-data-validation #healthsites,,public,operational,24/7,,,,,,limited,,Unknown,well,grid,,,,,,,,125591076,2,2022/08/31 00:56:48+00,7a0664798be6416fa48369247425be51
-14.0657553244556,16.2258445281956,"9989552375",node,53.125,doctors,doctor,Case de santé Thioka,Ministère de la santé et de l'action sociale,#senegal #covid-19 #emergency-health-data-validation #healthsites,,public,non_operational,24/7,"0","0","0",,,yes,no,public,well,no,,,,,,,,161241518,2,2025/01/11 14:35:29+00,46fa4a5cb98b404f8c123e8809f765ac
-16.370863102937,15.971753671375,"6630803892",node,43.75,doctors,doctor,Case de Santé Ngué Gallakh Peulh,Ministère de la santé et de l'action sociale,,,public,operational,"Mo-Fr 09:00-18:00; PH off",,,,,no,yes,no,no,powered_pump,solar,,,,,,,,82653988,3,2020/03/26 10:13:39+00,fea524c1c755435cae2ecde2e2521ba6
-17.4474089302814,14.7399909228731,"4956886105",node,9.375,doctors,,Cabinet  d'Ophtalmologie Communautaire,,,,,,,,,,,,,,,,,,,,,,,,50110028,1,2017/07/07 14:17:07+00,aa3c452e126e43feab07da61f5ff8320
-16.1805382450611,15.9605295486543,"6630774786",node,56.25,doctors,doctor,case de sante teud biti ndogal,Ministère de la santé et de l'action sociale,#senegal #covid-19 #emergency-health-data-validation #healthsites,,public,operational,"Mo-Fr 09:00-18:00; PH off","1","0","1",,no,no,no,public,well,no,,,,,,,,125591076,5,2022/08/31 00:56:48+00,059f78660f7f4db2a946adb14eb12e43
,,"260544005",way,9.375,doctors,,Centre de Santé HLM 1,,,,,,,,,,,,,,,,,,,,,,,,68404386,6,2019/03/22 10:01:40+00,63d3ec80ee244f0aa2c7c0aac7ad2ac1
,,"195234801",way,18.75,doctors,doctor,Poste de Santé of Dimboli,,Bing,,,,,,,,,,,no,,,,,,,,,,,107277234,3,2021/07/01 19:41:24+00,d908f86f8c164b2cbb4212a485d6eaa5
