X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
44.0520596939001,9.54787238310612,"8930880128",node,9.375,clinic,clinic,,,,,,,,,,,,,,,,,,,,,,,,,108198739,1,2021/07/18 16:15:30+00,dbb6293e80e04c7d8e80951466a605f6
44.0974318577877,9.54103886890587,"9277228841",node,9.375,pharmacy,,Saacid  Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,114130257,1,2021/11/23 09:00:04+00,2cf24f88f1f541a1adba2030d5a1a4c1
,,"1376543408",way,9.375,hospital,hospital,,,,,,,,,,,,,,,,,,,,,,,,,164783856,1,2025/04/10 19:01:33+00,33131603dd514b84b56cf90679f94a36
46.6248955180273,6.1329983613376,"8178752253",node,12.5,hospital,hospital,Adado General Hospital,,,,,,,,,,,,,,,,,,,,,,,,95040139,2,2020/11/30 11:14:51+00,de1cf9833c8c4b3a8326f40bee6db26f
,,"1205438985",way,15.625,hospital,hospital,kaamil hospital oodweyne,,,"general;gynaecology",,,,,,,,,,,,,,,,,,,,,140886081,1,2023/09/06 09:19:06+00,fb4f44439d10471882e6dce8643eb172
,,"305183550",way,15.625,hospital,hospital,Adna Adan hospital,ADna Adan,,,,,,,,,,,,,,,,,,,,,,,108186524,2,2021/07/18 10:11:02+00,5e1311449aa34dde84fc07e096750140
,,"1373465865",way,12.5,hospital,hospital,Jazeera Specialist Hospital,,,,,,,,,,,,,,,,,,,,,,,,164341520,1,2025/03/31 17:31:29+00,36958b2155ac47dcabbdb811aee6b733
,,"1386890945",way,12.5,hospital,hospital,Wadamagoo MCH,,,,,,,,,,,,,,,,,,,,,,,,166282025,1,2025/05/15 01:42:09+00,a71633fc47ef4d7a9a32cb842f19b404
45.3094417294518,2.03746803668838,"4243444489",node,12.5,hospital,hospital,ex dugsi sare banadir,,,,,,,,,,,,,,,,,,,,,,,,79113365,2,2020/01/02 12:51:49+00,be6892129f2943ceba656b99b97a2b5d
,,"188859423",way,12.5,hospital,hospital,Barawe General Hospital,,,,,,,,,,,,,,,,,,,,,,,,128310487,2,2022/10/31 17:47:52+00,44d45b6702ae434495919f2362bf9668
49.0857070386025,9.51023428509578,"7169827512",node,9.375,hospital,,Qardho General Hospital,,,,,,,,,,,,,,,,,,,,,,,,80268371,1,2020/01/29 16:24:46+00,a84ee17305224d85a4aaacfa336c4f20
,,"1373515691",way,12.5,hospital,hospital,Samakaal Hospital,,,,,,,,,,,,,,,,,,,,,,,,164350065,1,2025/03/31 21:36:06+00,1f8868a2a60c45f393644effc3855606
45.7554519335889,5.7624549576993,"10126035479",node,12.5,hospital,hospital,Balanbale General Hospital,,,,,,,,,,,,,,,,,,,,,,,,127995400,1,2022/10/24 12:41:01+00,2485012010584f1c8c9488d6a2ec90cc
45.3311935225584,2.03103157324145,"4746076221",node,12.5,clinic,clinic,,,,,,,,,,,,,,,,,,,,,,Via Tanzania,,,159413435,2,2024/11/21 14:53:38+00,0e4c55b6a2ad44b6a85c1f3632a5c33c
,,"791235104",way,9.375,hospital,hospital,,,,,,,,,,,,,,,,,,,,,,,,,83454107,1,2020/04/13 06:36:36+00,ccd07ba294c54a63961134eb5839a96a
,,"1375979832",way,12.5,hospital,hospital,Borama Regional Hospital,,,,,,,,,,,,,,,,,,,,,,,,164699814,1,2025/04/08 22:33:49+00,c5939ae198034db3868f778ac998d1e1
,,"791244577",way,15.625,hospital,hospital,Kaah medical centre,,,,,,,,,,,,,,,,,,,,,Goljano Road,,,113843174,2,2021/11/16 09:46:12+00,68028de1807d4fc9881ce5f3965e71ab
,,"791242762",way,12.5,hospital,hospital,Garowe General Hospital,,,,,,,,,,,,,,,,,,,,,,,,92541194,2,2020/10/15 19:42:33+00,19e083542ea644ab81ec64e28f4b2647
,,"1373864082",way,12.5,hospital,hospital,Keysane Hospital,,,,,,,,,,,,,,,,,,,,,,,,164392366,1,2025/04/01 20:14:57+00,adb79fc242684ab0a34add5f338b4eed
,,"1368707932",way,12.5,hospital,hospital,Baidoa Regional Hospital,,,,,,,,,,,,,,,,,,,,,,,,163771457,1,2025/03/18 12:01:12+00,81da7e9dd94b45ffa19b1e5b7643b22d
,,"1031517214",way,12.5,hospital,hospital,Kismayo General Hospital,,,,,,,,,,,,,,,,,,,,,,,,117415362,1,2022/02/15 01:24:19+00,828900c2e6b1423bbd56cddfca0ffcf9
45.5330383843368,2.97425308850825,"11375811669",node,6.25,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,144451079,1,2023/11/25 19:13:24+00,cc2d07cdf4e84cd8b75af1048e5da525
,,"791246027",way,15.625,hospital,hospital,Sajid Hospital,,UNPOS,,,,,,,,,,,,,,,,,,,,,,83457007,1,2020/04/13 07:22:16+00,45139cbadd2e4aebb38a69d6d9066c8b
,,"848044664",way,12.5,hospital,hospital,Yardimeni Hospital,,,,,,,,,,,,,,,,,,,,,,,,116373421,4,2022/01/20 08:17:56+00,9d2fe73504c2459cb70c7ad9e83a9cd1
42.2198488341846,3.32954251801817,"3204725433",node,9.375,pharmacy,,Al-Nasri Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,27023799,1,2014/11/25 15:13:23+00,0ccae15421914295865a190a722bb0be
42.215785287526,3.33230552858029,"1400887801",node,15.625,hospital,hospital,Garbahaarey Hospital,,,,,,,,,,,,,,,,,,,,,,,Garbahaarey,164444009,5,2025/04/03 01:33:12+00,6a3625ab65b542fd9cf5a3c39498b78b
45.0636583445045,9.40558848708832,"3455527618",node,12.5,clinic,clinic,Bisha Cas الهلال الأحمر,,,,,,,,,,,,,,,,,,,,,,,,90061475,4,2020/08/28 06:35:46+00,ab3099096e4f4bc396b24ecea25860f0
,,"296937067",way,12.5,hospital,hospital,Hannano Hospital (Red Crescent),,,,,,,,,,,,,,,,,,,,,,,,164426367,4,2025/04/02 15:12:27+00,36acc4db8c9d41e396ad83008a42c6bc
47.362749760526,8.4735712294316,"7605011185",node,9.375,hospital,,Manhal Hospital,,,,,,,,,,,,,,,,,,,,,,,,86396756,1,2020/06/09 09:06:10+00,0780d1158d594b41ad6f90ff115186b6
