city,country,country_code,latitude,longitude,population,hospitals,clinics,health_centers,pharmacies,laboratories,total_facilities,facilities_per_100k,hospital_beds_total,hospital_beds_per_10k,icu_beds_estimated,physicians_per_100k,nurses_per_100k,chw_per_100k,total_health_workers,daily_test_capacity,test_capacity_per_100k,cold_chain_score,pharma_import_dependency_pct,has_local_production,health_expenditure_per_capita,out_of_pocket_pct,jee_prevent,jee_detect,jee_respond,ghsi_overall,haq_index,medical_services_score,health_capacity_score,supply_chain_resilience_index
Cairo,Egypt,EG,30.0519,31.248,11893000,103,88,0,101,3,305,2.6,10393,8.7,520,97.4,110.6,15.0,26521,175,1.5,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,60.0,38.0
Lagos,Nigeria,NG,6.4452,3.3896,9466000,497,17,0,41,0,564,6.0,8386,8.9,168,73.4,109.9,30.0,20188,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,48.0,27.1
Kinshasa,Congo (Kinshasa),CD,-4.3278,15.313,7843000,46,849,0,259,2,1160,14.8,4128,5.3,41,13.7,125.0,20.0,12450,66,0.8,30.0,95.0,1,23.4,38.0,1.8,2.0,1.8,21.5,28.0,28.0,64.0,17.2
Luanda,Angola,AO,-8.8363,13.2325,5172900,6,89,0,243,2,365,7.1,1151,2.2,23,6.0,145.1,25.0,9108,66,1.3,35.0,99.0,0,76.1,32.5,1.8,2.0,1.8,22.7,32.0,32.0,57.0,17.8
Khartoum,Sudan,SD,15.59,32.5322,4754000,48,51,0,533,4,660,13.9,3819,8.0,76,30.4,159.8,15.0,9759,153,3.2,38.0,88.0,1,21.1,57.4,2.0,2.3,1.8,22.0,35.0,35.0,67.0,21.9
Alexandria,Egypt,EG,31.202,29.948,4165000,45,30,0,158,2,239,5.7,4541,10.9,227,121.5,247.5,15.0,15993,116,2.8,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,69.0,43.8
Abidjan,Ivory Coast,CI,5.3219,-4.042,3802000,0,0,0,0,0,0,0.0,212,0.6,4,3.6,13.8,30.0,1802,0,0.0,50.0,88.0,1,87.7,32.0,2.3,2.5,2.3,26.7,36.0,36.0,14.0,18.1
Johannesburg,South Africa,ZA,-26.1681,28.0281,3435000,9,66,0,141,2,273,7.9,5341,15.5,267,52.9,497.1,25.0,19751,116,3.4,80.0,72.0,1,536.6,6.7,3.3,3.5,3.3,45.8,52.0,52.0,74.0,56.2
Algiers,Algeria,DZ,36.765,3.0486,3354000,45,827,0,748,27,1770,52.8,3178,9.5,159,97.6,231.9,15.0,11555,1530,45.6,82.0,70.0,1,233.4,45.0,3.3,3.4,3.0,37.1,62.0,62.0,85.0,46.1
Cape Town,South Africa,ZA,-33.9181,18.433,3215000,7,63,0,100,0,198,6.2,4154,12.9,208,44.0,385.2,25.0,14601,0,0.0,80.0,72.0,1,536.6,6.7,3.3,3.5,3.3,45.8,52.0,52.0,69.0,52.7
Casablanca,Morocco,MA,33.6019,-7.6183,3181000,19,89,0,782,14,948,29.8,2135,6.7,107,72.9,41.5,15.0,4117,816,25.7,82.0,70.0,1,232.2,37.3,3.3,3.5,3.3,40.7,53.0,53.0,74.0,37.9
Kano,Nigeria,NG,12.0019,8.5181,3140000,52,4,0,14,0,71,2.3,877,2.8,18,23.1,41.7,30.0,2978,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,37.0,21.1
Addis Ababa,Ethiopia,ET,9.0353,38.6981,3100000,44,107,0,183,1,366,11.8,1067,3.4,21,16.3,128.2,40.0,5720,50,1.6,62.0,85.0,1,34.8,46.3,2.5,3.0,2.5,28.4,34.0,34.0,59.0,24.8
Nairobi,Kenya,KE,-1.2814,36.8147,3010000,164,367,0,485,20,1090,36.2,4984,16.6,100,32.4,169.3,40.0,7275,1099,36.5,65.0,75.0,1,85.0,24.2,3.0,3.3,2.8,35.1,42.0,42.0,77.0,37.8
Benoni,South Africa,ZA,-26.1476,28.328,2986000,3,14,0,35,0,82,2.7,1780,6.0,89,20.3,171.8,25.0,6481,0,0.0,80.0,72.0,1,536.6,6.7,3.3,3.5,3.3,45.8,52.0,52.0,54.0,42.8
Dar es Salaam,Tanzania,TZ,-6.7981,39.2664,2930000,44,253,0,1010,9,1339,45.7,999,3.4,20,7.1,27.7,40.0,2193,450,15.4,62.0,88.0,1,36.3,27.9,2.5,3.0,2.5,29.5,36.0,36.0,74.0,22.3
Durban,South Africa,ZA,-29.8631,30.9781,2729000,6,10,0,32,1,53,1.9,3560,13.0,178,44.4,121.5,25.0,5209,58,2.1,80.0,72.0,1,536.6,6.7,3.3,3.5,3.3,45.8,52.0,52.0,50.0,45.1
Giza,Egypt,EG,30.01,31.19,2681863,38,58,0,97,8,221,8.2,3834,14.3,192,159.3,355.5,15.0,14208,466,17.4,85.0,70.0,1,141.4,57.2,3.0,3.5,3.2,41.5,55.0,55.0,77.0,50.2
Ibadan,Nigeria,NG,7.382,3.928,2628000,43,30,0,40,0,125,4.8,726,2.8,15,22.9,87.8,30.0,3695,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,44.0,22.5
