region,country,cases,cases_per_100k,deaths,case_fatality_ratio,recoveries,tests,testing_ratio_per_1m,tests_per_case
Central,,75166,49.0,1483,2.0,68198,1585477,10336,21.1
Central,Burundi,818,7.1,2,0.2,687,76962,6635,94.1
Central,Cameroon,26277,103.9,448,1.7,24892,781009,30870,29.7
Central,Central African Republic,4963,103.4,63,1.3,4873,35303,7355,7.1
Central,Chad,2141,13.6,104,4.9,1704,68217,4318,31.9
Central,DR Congo,17998,20.8,591,3.3,14701,95223,1098,5.3
Central,Equatorial Guinea,5277,376.9,86,1.6,5136,76864,54903,14.6
Central,Gabon,9571,455.8,64,0.7,9388,371281,176800,38.8
Central,Republic of the Congo,7107,129.2,108,1.5,5846,73120,13295,10.3
Central,São Tomé and Príncipe,1014,507.0,17,1.7,971,7498,37490,7.4
Eastern,,325472,83.7,6082,1.9,256380,5175185,13314,15.9
Eastern,Comoros,765,85.0,9,1.2,626,6227,6919,8.1
Eastern,Djibouti,5831,583.1,61,1.0,5728,100294,100294,17.2
Eastern,Eritrea,1252,23.6,1,0.1,676,23693,4470,18.9
Eastern,Ethiopia,124264,112.9,1923,1.5,112096,1800236,16351,14.5
Eastern,Kenya,96458,184.8,1670,1.7,78737,1046667,20051,10.9
Eastern,Madagascar,17714,65.6,261,1.5,17228,100305,3715,5.7
Eastern,Mauritius,527,40.5,10,1.9,496,301345,231804,571.8
Eastern,Rwanda,8383,65.5,92,1.1,6542,730136,57042,87.1
Eastern,Seychelles,256,256.0,0,0.0,212,21504,215040,84.0
Eastern,Somalia,4714,30.2,130,2.8,3612,26509,1699,5.6
Eastern,South Sudan,3558,26.8,63,1.8,3131,105002,7895,29.5
Eastern,Sudan,25730,60.5,1576,6.1,15240,158804,3737,6.2
Eastern,Tanzania,509,0.8,21,4.1,178,3880,64,7.6
Eastern,Uganda,35511,77.7,265,0.7,11878,750583,16424,21.1
Northern,,932564,456.7,24323,2.6,776895,7002858,34294,7.5
Northern,Algeria,99610,233.3,2756,2.8,67127,230553,5399,2.3
Northern,Egypt,138062,136.4,7631,5.5,112105,1000000,9881,7.2
Northern,Libya,100744,1526.4,1478,1.5,73252,549138,83203,5.5
Northern,Mauritania,14364,305.6,337,2.3,11380,145381,30932,10.1
Northern,Morocco,439193,1200.0,7388,1.7,407504,4457349,121785,10.1
Northern,Tunisia,140557,1191.2,4730,3.4,105499,620308,52568,4.4
Northern,Sahrawi Arab Democratic Republic,34,5.7,3,8.8,28,129,215,3.8
Southern,,1185617,640.5,30453,2.6,971679,8968128,48450,7.6
Southern,Angola,17553,55.2,405,2.3,11044,305810,9617,17.4
Southern,Botswana,14805,616.9,42,0.3,12136,544167,226736,36.8
Southern,Eswatini,9358,668.4,184,2.0,7073,92315,65939,9.9
Southern,Lesotho,3094,134.5,51,1.6,1480,33109,14395,10.7
Southern,Malawi,6471,32.8,189,2.9,5700,84986,4314,13.1
Southern,Mozambique,18642,59.4,166,0.9,16663,271947,8661,14.6
Southern,Namibia,23941,920.8,196,0.8,20076,209155,80444,8.7
Southern,South Africa,1057161,1819.6,28469,2.7,867597,6609208,113756,6.3
Southern,Zambia,20725,114.5,388,1.9,18660,601003,33205,29.0
Southern,Zimbabwe,13867,80.2,363,2.6,11250,216428,12510,15.6
Western,,244602,63.0,3261,1.3,218915,3601780,9278,14.7
Western,Benin,3251,27.6,44,1.4,3061,379760,32183,116.8
Western,Burkina Faso,6707,32.1,85,1.3,5100,96866,4634,14.4
Western,Cabo Verde,11840,1973.3,113,1.0,11559,107817,179695,9.1
Western,Côte d'Ivoire,22490,88.2,137,0.6,21934,258506,10137,11.5
Western,The Gambia,3800,172.7,124,3.3,3669,30329,13786,8.0
Western,Ghana,55168,183.3,335,0.6,53928,672364,22338,12.2
Western,Guinea,13738,102.5,81,0.6,13153,304347,22712,22.2
Western,Guinea Bissau,2447,122.4,45,1.8,2378,36588,18294,15.0
Western,Liberia,1800,36.0,83,4.6,1406,39870,7974,22.2
Western,Mali,7090,36.0,269,3.8,4650,141653,7191,20.0
Western,Niger,3323,14.3,102,3.1,1825,62421,2691,18.8
Western,Nigeria,87564,43.6,1289,1.5,73713,948048,4717,10.8
Western,Senegal,19140,114.6,410,2.1,17254,280040,16769,14.6
Western,Sierra Leone,2611,33.1,76,2.9,1892,65275,8263,25.0
Western,Togo,3633,44.3,68,1.9,3393,177896,21695,49.0
Total,,2763421,209.4,65602,2.4,2292067,26333428,19956,9.5
